Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,1.0,-1.129402615593034,-1.129402615593034
2024-10-14,4.0,-0.20104446127007147,-0.20104446127007147
2024-10-15,4.0,-0.20104446127007147,-0.20104446127007147
2024-10-16,2.625,-0.626541948668096,-0.626541948668096
2024-10-17,4.125,-0.1623628715066147,-0.1623628715066147
2024-10-18,3.125,-0.47181558961426884,-0.47181558961426884
2024-10-20,1.125,-1.0907210258295772,-1.0907210258295772
2024-10-21,8.25,1.1141295906874586,1.1141295906874586
2024-10-22,4.5,-0.04631810221624438,-0.04631810221624438
2024-10-23,3.25,-0.4331339998508121,-0.4331339998508121
2024-10-24,2.75,-0.5878603589046392,-0.5878603589046392
2024-10-25,5.375,0.224453026127953,0.224453026127953
2024-10-27,3.375,-0.3944524100873553,-0.3944524100873553
2024-10-28,4.75,0.031045077310669158,0.031045077310669158
2024-10-29,6.75,0.6499505135259775,0.6499505135259775
2024-11-03,2.5,-0.6652235384315527,-0.6652235384315527
2024-11-04,4.625,-0.007636512452787612,-0.007636512452787612
2024-11-05,13.0,2.584030001698816,2.584030001698816
2024-11-06,6.25,0.4952241544721504,0.4952241544721504
2024-11-07,8.625,1.230174359977829,1.230174359977829
2024-11-08,4.875,0.06972666707412593,0.06972666707412593
2024-11-10,2.0,-0.8199498974853798,-0.8199498974853798
2024-11-11,4.125,-0.1623628715066147,-0.1623628715066147
2024-11-12,6.5,0.5725873339990639,0.5725873339990639
2024-11-15,8.25,1.1141295906874586,1.1141295906874586
2024-11-17,1.5,-0.9746762565392069,-0.9746762565392069
2024-11-18,5.375,0.224453026127953,0.224453026127953
2024-11-19,5.0,0.1084082568375827,0.1084082568375827
2024-11-20,2.75,-0.5878603589046392,-0.5878603589046392
2024-11-21,4.75,0.031045077310669158,0.031045077310669158
2024-11-22,3.625,-0.3170892305604418,-0.3170892305604418
2024-11-24,2.0,-0.8199498974853798,-0.8199498974853798
2024-11-25,7.125,0.7659952828163478,0.7659952828163478
2024-11-26,3.875,-0.23972605103352823,-0.23972605103352823
2024-11-28,1.875,-0.8586314872488365,-0.8586314872488365
2024-11-29,6.375,0.5339057442356072,0.5339057442356072
2024-12-01,2.125,-0.781268307721923,-0.781268307721923
2024-12-02,7.25,0.8046768725798046,0.8046768725798046
2024-12-03,7.5,0.8820400521067181,0.8820400521067181
2024-12-04,6.125,0.45654256470869364,0.45654256470869364
2024-12-05,5.375,0.224453026127953,0.224453026127953
2024-12-08,1.0,-1.129402615593034,-1.129402615593034
2024-12-09,5.875,0.3791793851817801,0.3791793851817801
2024-12-10,5.875,0.3791793851817801,0.3791793851817801
2024-12-13,7.875,0.9980848213970884,0.9980848213970884
2024-12-15,1.5,-0.9746762565392069,-0.9746762565392069
2024-12-16,3.125,-0.47181558961426884,-0.47181558961426884
2024-12-17,4.125,-0.1623628715066147,-0.1623628715066147
2024-12-18,12.625,2.467985232408446,2.467985232408446
2024-12-22,1.25,-1.0520394360661205,-1.0520394360661205
2024-12-23,4.75,0.031045077310669158,0.031045077310669158
2024-12-24,2.75,-0.5878603589046392,-0.5878603589046392
2024-12-25,2.0,-0.8199498974853798,-0.8199498974853798
2024-12-26,4.375,-0.08499969197970116,-0.08499969197970116
2024-12-27,3.375,-0.3944524100873553,-0.3944524100873553
2024-12-29,0.875,-1.1680842053564908,-1.1680842053564908
2024-12-30,6.875,0.6886321032894342,0.6886321032894342
2024-12-31,4.0,-0.20104446127007147,-0.20104446127007147
2025-01-01,2.0,-0.8199498974853798,-0.8199498974853798
2025-01-02,5.5,0.2631346158914098,0.2631346158914098
2025-01-03,4.625,-0.007636512452787612,-0.007636512452787612
2025-01-05,1.875,-0.8586314872488365,-0.8586314872488365
2025-01-06,4.375,-0.08499969197970116,-0.08499969197970116
2025-01-07,4.75,0.031045077310669158,0.031045077310669158
2025-01-08,4.625,-0.007636512452787612,-0.007636512452787612
2025-01-09,2.5,-0.6652235384315527,-0.6652235384315527
2025-01-12,2.625,-0.626541948668096,-0.626541948668096
2025-01-13,3.0,-0.5104971793777257,-0.5104971793777257
2025-01-16,7.125,0.7659952828163478,0.7659952828163478
2025-01-17,4.751953125,0.03164947715072317,0.03164947715072317
2025-01-19,1.25,-1.0520394360661205,-1.0520394360661205
2025-01-20,7.875,0.9980848213970884,0.9980848213970884
2025-01-21,5.25,0.18577143636449625,0.18577143636449625
2025-01-22,3.75,-0.278407640796985,-0.278407640796985
2025-01-23,3.75,-0.278407640796985,-0.278407640796985
2025-01-24,3.5,-0.35577082032389856,-0.35577082032389856
2025-01-26,2.125,-0.781268307721923,-0.781268307721923
2025-01-27,7.0,0.7273136930528911,0.7273136930528911
2025-01-28,4.375,-0.08499969197970116,-0.08499969197970116
2025-01-29,6.0,0.4178609749452369,0.4178609749452369
2025-02-02,5.5,0.2631346158914098,0.2631346158914098
2025-02-03,4.375,-0.08499969197970116,-0.08499969197970116
2025-02-04,5.75,0.3404977954183233,0.3404977954183233
2025-02-05,6.375,0.5339057442356072,0.5339057442356072
2025-02-06,2.5,-0.6652235384315527,-0.6652235384315527
2025-02-09,1.625,-0.9359946667757502,-0.9359946667757502
2025-02-10,3.75,-0.278407640796985,-0.278407640796985
2025-02-11,3.625,-0.3170892305604418,-0.3170892305604418
2025-02-14,6.625,0.6112689237625207,0.6112689237625207
2025-02-16,1.5,-0.9746762565392069,-0.9746762565392069
2025-02-17,2.125,-0.781268307721923,-0.781268307721923
