Volatility of Returns Statistic,"(Session:Asia 18-24 ET, Interval:1m, Symbol:ZT)"
count,260.0
mean,0.8959134307692326
std,1.1275836917932538
min,0.0
10%,0.25
25%,0.375
50%,0.5
75%,0.875
95%,3.628124999999999
99%,5.546250000000022
max,7.8125
skewness,3.1782871303116154
kurtosis,11.294499906073174
