Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:1m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-09-30,3.25,0.6935180809699634,0.6935180809699634
2024-10-01,2.0,-0.11070483384614463,-0.11070483384614463
2024-10-02,1.25,-0.5932385827358094,-0.5932385827358094
2024-10-03,1.5,-0.43239399977258786,-0.43239399977258786
2024-10-07,1.25,-0.5932385827358094,-0.5932385827358094
2024-10-08,2.5,0.21098433208029857,0.21098433208029857
2024-10-09,1.75,-0.27154941680936623,-0.27154941680936623
2024-10-14,1.25,-0.5932385827358094,-0.5932385827358094
2024-10-15,1.25,-0.5932385827358094,-0.5932385827358094
2024-10-16,1.0,-0.754083165699031,-0.754083165699031
2024-10-17,1.5,-0.43239399977258786,-0.43239399977258786
2024-10-18,1.25,-0.5932385827358094,-0.5932385827358094
2024-10-21,1.75,-0.27154941680936623,-0.27154941680936623
2024-10-22,1.25,-0.5932385827358094,-0.5932385827358094
2024-10-23,2.0,-0.11070483384614463,-0.11070483384614463
2024-10-24,2.0,-0.11070483384614463,-0.11070483384614463
2024-10-25,2.25,0.05013974911707698,0.05013974911707698
2024-10-28,2.0,-0.11070483384614463,-0.11070483384614463
2024-10-29,3.25,0.6935180809699634,0.6935180809699634
2024-11-04,3.75,1.0152072468964066,1.0152072468964066
2024-11-05,2.5,0.21098433208029857,0.21098433208029857
2024-11-06,2.75,0.37182891504352017,0.37182891504352017
2024-11-07,3.75,1.0152072468964066,1.0152072468964066
2024-11-08,2.0,-0.11070483384614463,-0.11070483384614463
2024-11-11,2.25,0.05013974911707698,0.05013974911707698
2024-11-12,1.75,-0.27154941680936623,-0.27154941680936623
2024-11-15,2.25,0.05013974911707698,0.05013974911707698
2024-11-18,1.75,-0.27154941680936623,-0.27154941680936623
2024-11-19,2.25,0.05013974911707698,0.05013974911707698
2024-11-20,1.5,-0.43239399977258786,-0.43239399977258786
2024-11-21,1.5,-0.43239399977258786,-0.43239399977258786
2024-11-22,2.0,-0.11070483384614463,-0.11070483384614463
2024-11-25,1.5,-0.43239399977258786,-0.43239399977258786
2024-11-26,2.0,-0.11070483384614463,-0.11070483384614463
2024-12-02,4.0,1.1760518298596283,1.1760518298596283
2024-12-03,3.75,1.0152072468964066,1.0152072468964066
2024-12-04,1.5,-0.43239399977258786,-0.43239399977258786
2024-12-05,3.5,0.854362663933185,0.854362663933185
2024-12-09,3.5,0.854362663933185,0.854362663933185
2024-12-10,2.75,0.37182891504352017,0.37182891504352017
2024-12-13,1.5,-0.43239399977258786,-0.43239399977258786
2024-12-16,1.5,-0.43239399977258786,-0.43239399977258786
2024-12-17,2.25,0.05013974911707698,0.05013974911707698
2024-12-18,4.75,1.658585578749293,1.658585578749293
2024-12-23,1.75,-0.27154941680936623,-0.27154941680936623
2024-12-26,1.25,-0.5932385827358094,-0.5932385827358094
2024-12-27,1.5,-0.43239399977258786,-0.43239399977258786
2024-12-30,2.0,-0.11070483384614463,-0.11070483384614463
