Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,5.5,-0.7976727403285845,-0.7976727403285845
2024-10-15,8.5,-0.03486800815155222,-0.03486800815155222
2024-10-16,5.5,-0.7976727403285845,-0.7976727403285845
2024-10-17,15.5,1.7450097002615232,1.7450097002615232
2024-10-18,10.0,0.3465343579369639,0.3465343579369639
2024-10-21,6.0,-0.6705386182990791,-0.6705386182990791
2024-10-22,10.5,0.4736684799664693,0.4736684799664693
2024-10-23,7.5,-0.289136252210563,-0.289136252210563
2024-10-24,9.5,0.21940023590745855,0.21940023590745855
2024-10-25,8.0,-0.1620021301810576,-0.1620021301810576
2024-10-28,8.5,-0.03486800815155222,-0.03486800815155222
2024-10-29,9.0,0.09226611387795317,0.09226611387795317
2024-11-04,7.0,-0.41627037424006835,-0.41627037424006835
2024-11-05,5.5,-0.7976727403285845,-0.7976727403285845
2024-11-06,12.5,0.9822049680844909,0.9822049680844909
2024-11-07,19.0,2.634948554468061,2.634948554468061
2024-11-08,11.5,0.72793672402548,0.72793672402548
2024-11-11,10.0,0.3465343579369639,0.3465343579369639
2024-11-12,9.0,0.09226611387795317,0.09226611387795317
2024-11-15,17.5,2.253546188379545,2.253546188379545
2024-11-18,11.0,0.6008026019959747,0.6008026019959747
2024-11-19,10.5,0.4736684799664693,0.4736684799664693
2024-11-20,6.5,-0.5434044962695738,-0.5434044962695738
2024-11-21,9.0,0.09226611387795317,0.09226611387795317
2024-11-22,7.0,-0.41627037424006835,-0.41627037424006835
2024-11-25,17.0,2.1264120663500394,2.1264120663500394
2024-11-26,6.0,-0.6705386182990791,-0.6705386182990791
2024-11-28,4.0,-1.1790751064171008,-1.1790751064171008
2024-11-29,7.5,-0.289136252210563,-0.289136252210563
2024-12-02,14.0,1.363607334173007,1.363607334173007
2024-12-03,15.5,1.7450097002615232,1.7450097002615232
2024-12-04,2.0,-1.6876115945351222,-1.6876115945351222
2024-12-05,8.5,-0.03486800815155222,-0.03486800815155222
2024-12-09,6.0,-0.6705386182990791,-0.6705386182990791
2024-12-10,8.0,-0.1620021301810576,-0.1620021301810576
2024-12-13,7.0,-0.41627037424006835,-0.41627037424006835
2024-12-16,3.5,-1.306209228446606,-1.306209228446606
2024-12-17,11.5,0.72793672402548,0.72793672402548
2024-12-18,8.0,-0.1620021301810576,-0.1620021301810576
2024-12-23,6.0,-0.6705386182990791,-0.6705386182990791
2024-12-24,2.0,-1.6876115945351222,-1.6876115945351222
2024-12-26,5.5,-0.7976727403285845,-0.7976727403285845
2024-12-27,5.5,-0.7976727403285845,-0.7976727403285845
2024-12-30,8.5,-0.03486800815155222,-0.03486800815155222
2024-12-31,7.5,-0.289136252210563,-0.289136252210563
2025-01-02,10.5,0.4736684799664693,0.4736684799664693
2025-01-03,7.0,-0.41627037424006835,-0.41627037424006835
2025-01-06,7.5,-0.289136252210563,-0.289136252210563
2025-01-07,4.5,-1.0519409843875953,-1.0519409843875953
2025-01-08,8.5,-0.03486800815155222,-0.03486800815155222
2025-01-09,6.5,-0.5434044962695738,-0.5434044962695738
2025-01-13,6.0,-0.6705386182990791,-0.6705386182990791
2025-01-16,7.5,-0.289136252210563,-0.289136252210563
2025-01-17,9.0,0.09226611387795317,0.09226611387795317
2025-01-20,14.0,1.363607334173007,1.363607334173007
2025-01-21,8.0,-0.1620021301810576,-0.1620021301810576
2025-01-22,6.5,-0.5434044962695738,-0.5434044962695738
2025-01-23,10.5,0.4736684799664693,0.4736684799664693
2025-01-24,3.0,-1.4333433504761115,-1.4333433504761115
2025-01-27,10.5,0.4736684799664693,0.4736684799664693
2025-01-28,4.5,-1.0519409843875953,-1.0519409843875953
2025-01-29,7.0,-0.41627037424006835,-0.41627037424006835
2025-02-03,11.5,0.72793672402548,0.72793672402548
2025-02-04,6.0,-0.6705386182990791,-0.6705386182990791
2025-02-05,5.0,-0.92480686235809,-0.92480686235809
2025-02-06,10.5,0.4736684799664693,0.4736684799664693
2025-02-10,7.0,-0.41627037424006835,-0.41627037424006835
2025-02-11,3.0,-1.4333433504761115,-1.4333433504761115
2025-02-14,15.0,1.6178755782320178,1.6178755782320178
2025-02-17,2.5,-1.5604774725056167,-1.5604774725056167
2025-02-18,5.0,-0.92480686235809,-0.92480686235809
2025-02-19,6.0,-0.6705386182990791,-0.6705386182990791
2025-02-20,7.5,-0.289136252210563,-0.289136252210563
2025-02-21,5.0,-0.92480686235809,-0.92480686235809
2025-02-24,10.5,0.4736684799664693,0.4736684799664693
2025-02-25,11.0,0.6008026019959747,0.6008026019959747
2025-02-26,11.5,0.72793672402548,0.72793672402548
2025-03-03,13.0,1.1093390901139963,1.1093390901139963
2025-03-04,10.5,0.4736684799664693,0.4736684799664693
2025-03-05,13.0,1.1093390901139963,1.1093390901139963
2025-03-06,12.5,0.9822049680844909,0.9822049680844909
2025-03-10,6.0,-0.6705386182990791,-0.6705386182990791
2025-03-11,7.0,-0.41627037424006835,-0.41627037424006835
