Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,2.5,-0.7209614273639169,-0.7209614273639169
2024-10-15,3.5,-0.41129587578092897,-0.41129587578092897
2024-10-16,3.0,-0.566128651572423,-0.566128651572423
2024-10-17,3.5,-0.41129587578092897,-0.41129587578092897
2024-10-18,3.5,-0.41129587578092897,-0.41129587578092897
2024-10-21,4.5,-0.10163032419794105,-0.10163032419794105
2024-10-22,3.0,-0.566128651572423,-0.566128651572423
2024-10-23,4.0,-0.256463099989435,-0.256463099989435
2024-10-24,4.0,-0.256463099989435,-0.256463099989435
2024-10-25,4.0,-0.256463099989435,-0.256463099989435
2024-10-28,4.0,-0.256463099989435,-0.256463099989435
2024-10-29,7.0,0.6725335547595288,0.6725335547595288
2024-11-04,7.5,0.8273663305510227,0.8273663305510227
2024-11-05,5.0,0.05320245159355293,0.05320245159355293
2024-11-06,5.5,0.2080352273850469,0.2080352273850469
2024-11-07,7.5,0.8273663305510227,0.8273663305510227
2024-11-08,6.5,0.5177007789680348,0.5177007789680348
2024-11-11,4.5,-0.10163032419794105,-0.10163032419794105
2024-11-12,7.0,0.6725335547595288,0.6725335547595288
2024-11-15,5.5,0.2080352273850469,0.2080352273850469
2024-11-18,2.5,-0.7209614273639169,-0.7209614273639169
2024-11-19,4.5,-0.10163032419794105,-0.10163032419794105
2024-11-20,3.5,-0.41129587578092897,-0.41129587578092897
2024-11-21,4.0,-0.256463099989435,-0.256463099989435
2024-11-22,3.5,-0.41129587578092897,-0.41129587578092897
2024-11-25,4.0,-0.256463099989435,-0.256463099989435
2024-11-26,5.0,0.05320245159355293,0.05320245159355293
2024-12-02,5.5,0.2080352273850469,0.2080352273850469
2024-12-03,6.5,0.5177007789680348,0.5177007789680348
2024-12-04,3.0,-0.566128651572423,-0.566128651572423
2024-12-05,5.5,0.2080352273850469,0.2080352273850469
2024-12-09,3.0,-0.566128651572423,-0.566128651572423
2024-12-10,4.0,-0.256463099989435,-0.256463099989435
2024-12-13,3.5,-0.41129587578092897,-0.41129587578092897
2024-12-16,3.5,-0.41129587578092897,-0.41129587578092897
2024-12-17,4.0,-0.256463099989435,-0.256463099989435
