Volatility of Returns Statistic,"(Session:Asia 18-24 ET, Interval:1h, Symbol:ZN)"
count,646.0
mean,3.2391640866873064
std,2.474536727014552
min,0.0
10%,1.5
25%,2.0
50%,2.5
75%,3.75
95%,8.5
99%,12.524999999999977
max,23.25
skewness,3.5436988764811654
kurtosis,19.170183780937677
