Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,0.5,-0.35111666978758027,-0.35111666978758027
2024-10-14,0.875,-0.018547120645185,-0.018547120645185
2024-10-15,0.375,-0.4619731861683787,-0.4619731861683787
2024-10-16,0.5,-0.35111666978758027,-0.35111666978758027
2024-10-17,0.4374992000000475,-0.4065456374596422,-0.4065456374596422
2024-10-20,0.375,-0.4619731861683787,-0.4619731861683787
2024-10-21,0.75,-0.12940363702598343,-0.12940363702598343
2024-10-22,0.9374992000000475,0.0368804280635515,0.0368804280635515
2024-10-23,0.875,-0.018547120645185,-0.018547120645185
2024-10-24,0.5,-0.35111666978758027,-0.35111666978758027
2024-10-27,1.0,0.09230939573561342,0.09230939573561342
2024-10-28,0.5625007999999525,-0.2956877021155183,-0.2956877021155183
2024-10-29,0.4374992000000475,-0.4065456374596422,-0.4065456374596422
2024-11-03,1.1874992000000475,0.25859346082514834,0.25859346082514834
2024-11-04,0.4375007999999525,-0.4065442184963168,-0.4065442184963168
2024-11-05,4.1874992000000475,2.919149853964311,2.919149853964311
2024-11-06,0.875,-0.018547120645185,-0.018547120645185
2024-11-07,0.5624992000000475,-0.29568912107884376,-0.29568912107884376
2024-11-10,0.75,-0.12940363702598343,-0.12940363702598343
2024-11-11,0.4374992000000475,-0.4065456374596422,-0.4065456374596422
2024-11-12,0.5624992000000475,-0.29568912107884376,-0.29568912107884376
2024-11-17,0.8124992000000475,-0.07397608831724693,-0.07397608831724693
2024-11-18,0.4374992000000475,-0.4065456374596422,-0.4065456374596422
2024-11-19,0.5,-0.35111666978758027,-0.35111666978758027
2024-11-20,0.4374992000000475,-0.4065456374596422,-0.4065456374596422
2024-11-21,0.4374992000000475,-0.4065456374596422,-0.4065456374596422
2024-11-24,0.875,-0.018547120645185,-0.018547120645185
2024-11-25,0.875,-0.018547120645185,-0.018547120645185
2024-11-26,0.375,-0.4619731861683787,-0.4619731861683787
2024-11-28,0.5,-0.35111666978758027,-0.35111666978758027
2024-12-01,3.875,2.6420092724939774,2.6420092724939774
2024-12-02,3.6875,2.4757244979227795,2.4757244979227795
2024-12-03,0.6875,-0.18483189521638263,-0.18483189521638263
2024-12-04,0.5625,-0.29568841159718107,-0.29568841159718107
2024-12-05,0.4375,-0.4065449279779795,-0.4065449279779795
2024-12-09,0.375,-0.4619731861683787,-0.4619731861683787
2024-12-10,0.5625,-0.29568841159718107,-0.29568841159718107
2024-12-15,0.4375,-0.4065449279779795,-0.4065449279779795
2024-12-16,0.5,-0.35111666978758027,-0.35111666978758027
2024-12-17,0.4375,-0.4065449279779795,-0.4065449279779795
2024-12-18,0.9375,0.036881137545214215,0.036881137545214215
2024-12-22,0.4375,-0.4065449279779795,-0.4065449279779795
2024-12-23,0.375,-0.4619731861683787,-0.4619731861683787
2024-12-25,0.75,-0.12940363702598343,-0.12940363702598343
2024-12-26,0.4375,-0.4065449279779795,-0.4065449279779795
2024-12-29,0.375,-0.4619731861683787,-0.4619731861683787
2024-12-30,0.4375,-0.4065449279779795,-0.4065449279779795
2025-01-01,0.8125,-0.07397537883558421,-0.07397537883558421
2025-01-02,0.4375,-0.4065449279779795,-0.4065449279779795
2025-01-05,0.5625,-0.29568841159718107,-0.29568841159718107
2025-01-06,0.6875,-0.18483189521638263,-0.18483189521638263
2025-01-07,0.4375,-0.4065449279779795,-0.4065449279779795
2025-01-08,0.6875,-0.18483189521638263,-0.18483189521638263
2025-01-09,0.625,-0.24026015340678183,-0.24026015340678183
2025-01-12,1.0,0.09230939573561342,0.09230939573561342
2025-01-13,0.5625,-0.29568841159718107,-0.29568841159718107
2025-01-16,0.375,-0.4619731861683787,-0.4619731861683787
2025-01-19,0.6875,-0.18483189521638263,-0.18483189521638263
2025-01-20,1.0625,0.14773765392601262,0.14773765392601262
2025-01-21,0.5625,-0.29568841159718107,-0.29568841159718107
2025-01-22,0.375,-0.4619731861683787,-0.4619731861683787
2025-01-23,1.0625,0.14773765392601262,0.14773765392601262
2025-01-26,0.6875,-0.18483189521638263,-0.18483189521638263
2025-01-27,0.75,-0.12940363702598343,-0.12940363702598343
2025-01-28,0.5,-0.35111666978758027,-0.35111666978758027
2025-01-29,0.375,-0.4619731861683787,-0.4619731861683787
2025-02-02,1.5625,0.5911637194492063,0.5911637194492063
2025-02-03,0.375,-0.4619731861683787,-0.4619731861683787
2025-02-04,0.4375,-0.4065449279779795,-0.4065449279779795
2025-02-05,0.5,-0.35111666978758027,-0.35111666978758027
2025-02-06,0.4375,-0.4065449279779795,-0.4065449279779795
2025-02-09,0.5625,-0.29568841159718107,-0.29568841159718107
2025-02-10,0.375,-0.4619731861683787,-0.4619731861683787
2025-02-11,0.4375,-0.4065449279779795,-0.4065449279779795
2025-02-16,0.4375,-0.4065449279779795,-0.4065449279779795
2025-02-17,0.5,-0.35111666978758027,-0.35111666978758027
2025-02-18,0.3125,-0.5174014443587779,-0.5174014443587779
2025-02-19,0.5625,-0.29568841159718107,-0.29568841159718107
2025-02-20,0.6875,-0.18483189521638263,-0.18483189521638263
2025-02-23,0.5,-0.35111666978758027,-0.35111666978758027
2025-02-24,0.8125,-0.07397537883558421,-0.07397537883558421
2025-02-25,1.1875,0.25859417030681103,0.25859417030681103
2025-02-26,4.4375,3.14086359620757,3.14086359620757
2025-03-02,4.8125,3.4734331453499654,3.4734331453499654
2025-03-03,6.0625,4.5819983091579495,4.5819983091579495
2025-03-04,4.875,3.5288614035403647,3.5288614035403647
