Volatility of Returns Statistic,"(Session:US Open 7-10 ET, Interval:1m, Symbol:ZT)"
count,237.0
mean,1.2666139206751057
std,1.1424483609415248
min,0.25
10%,0.5
25%,0.6875
50%,0.875
75%,1.25
95%,4.387499999999999
99%,5.364999999999995
max,6.0
skewness,2.3786122490444157
kurtosis,5.092255096191392
