"(Vol Return Stats:- Interval:1d, Symbol:ZN)",All day
count,5994.0
mean,10.199951843933778
std,5.7958178724766585
min,0.0
5%,4.0
25%,6.25
50%,8.75048828125
68%,11.25
90%,17.25
95%,21.0
99%,29.267499999999927
99.7%,39.010499999999865
max,74.5
