Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,0.8125007999999525,-0.3974911568877436,-0.3974911568877436
2024-10-15,1.125,-0.12395651787569424,-0.12395651787569424
2024-10-16,0.9375007999999525,-0.2880770211827531,-0.2880770211827531
2024-10-17,1.375,0.09487175353428683,0.09487175353428683
2024-10-18,0.9374992000000475,-0.288078421683607,-0.288078421683607
2024-10-21,0.8124992000000475,-0.3974925573885975,-0.3974925573885975
2024-10-22,1.125,-0.12395651787569424,-0.12395651787569424
2024-10-23,0.9375007999999525,-0.2880770211827531,-0.2880770211827531
2024-10-24,1.0,-0.23337065358068476,-0.23337065358068476
2024-10-25,1.0624992000000475,-0.17866428597861644,-0.17866428597861644
2024-10-28,0.6874992000000475,-0.506906693093588,-0.506906693093588
2024-10-29,1.0625007999999525,-0.17866288547776257,-0.17866288547776257
2024-11-04,0.9375007999999525,-0.2880770211827531,-0.2880770211827531
2024-11-05,0.875,-0.3427847892856753,-0.3427847892856753
2024-11-06,1.625,0.3137000249442679,0.3137000249442679
2024-11-07,1.9375007999999525,0.5872360644571711,0.5872360644571711
2024-11-08,1.5,0.20428588923927737,0.20428588923927737
2024-11-11,0.75,-0.45219892499066583,-0.45219892499066583
2024-11-12,1.0,-0.23337065358068476,-0.23337065358068476
2024-11-15,2.0,0.6419424320592395,0.6419424320592395
2024-11-18,1.1874992000000475,-0.06925015027362591,-0.06925015027362591
2024-11-19,1.25,-0.014542382170703702,-0.014542382170703702
2024-11-20,0.6875007999999525,-0.5069052925927342,-0.5069052925927342
2024-11-21,0.9374992000000475,-0.288078421683607,-0.288078421683607
2024-11-22,0.75,-0.45219892499066583,-0.45219892499066583
2024-11-25,1.875,0.5325282963542489,0.5325282963542489
2024-11-26,1.1874992000000475,-0.06925015027362591,-0.06925015027362591
2024-11-28,0.3124992000000475,-0.8351491002085596,-0.8351491002085596
2024-11-29,4.5625,2.8849322140115454,2.8849322140115454
2024-12-02,4.125,2.5019827390440788,2.5019827390440788
2024-12-03,1.1875,-0.06924945002319897,-0.06924945002319897
2024-12-04,0.3125,-0.8351483999581327,-0.8351483999581327
2024-12-05,3.0625,1.571962585551659,1.571962585551659
2024-12-09,1.9375,0.5872353642067443,0.5872353642067443
2024-12-10,1.1875,-0.06924945002319897,-0.06924945002319897
2024-12-13,0.75,-0.45219892499066583,-0.45219892499066583
2024-12-16,0.375,-0.7804413321056375,-0.7804413321056375
2024-12-17,1.125,-0.12395651787569424,-0.12395651787569424
2024-12-18,1.8125,0.4778212285017537,0.4778212285017537
2024-12-23,0.5,-0.6710271964006469,-0.6710271964006469
2024-12-24,0.25,-0.889855467810628,-0.889855467810628
2024-12-26,0.375,-0.7804413321056375,-0.7804413321056375
2024-12-27,0.6875,-0.5069059928431611,-0.5069059928431611
2024-12-30,1.0,-0.23337065358068476,-0.23337065358068476
2024-12-31,0.9375,-0.28807772143318006,-0.28807772143318006
2025-01-02,0.75,-0.45219892499066583,-0.45219892499066583
2025-01-03,0.625,-0.5616130606956564,-0.5616130606956564
2025-01-06,1.0625,-0.1786635857281895,-0.1786635857281895
2025-01-07,0.5625,-0.6163201285481517,-0.6163201285481517
2025-01-08,1.625,0.3137000249442679,0.3137000249442679
2025-01-09,0.6875,-0.5069059928431611,-0.5069059928431611
2025-01-13,1.125,-0.12395651787569424,-0.12395651787569424
2025-01-16,0.75,-0.45219892499066583,-0.45219892499066583
2025-01-17,1.5,0.20428588923927737,0.20428588923927737
2025-01-20,1.375,0.09487175353428683,0.09487175353428683
2025-01-21,0.6875,-0.5069059928431611,-0.5069059928431611
2025-01-22,0.8125,-0.3974918571381706,-0.3974918571381706
2025-01-23,0.6875,-0.5069059928431611,-0.5069059928431611
2025-01-24,0.375,-0.7804413321056375,-0.7804413321056375
