Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-11-04,4.25,0.19942375804205656,0.19942375804205656
2024-11-05,5.0,0.5616204212968189,0.5616204212968189
2024-11-06,6.75,1.4067459688912645,1.4067459688912645
2024-11-07,5.5,0.8030848634666604,0.8030848634666604
2024-11-08,2.75,-0.5249695684674681,-0.5249695684674681
2024-11-11,1.25,-1.2493628949769928,-1.2493628949769928
2024-11-12,3.5,-0.1627729052127058,-0.1627729052127058
2024-11-15,4.75,0.4408882002118981,0.4408882002118981
2024-11-18,3.25,-0.2835051262976266,-0.2835051262976266
2024-11-19,2.75,-0.5249695684674681,-0.5249695684674681
2024-11-20,2.75,-0.5249695684674681,-0.5249695684674681
2024-11-21,3.25,-0.2835051262976266,-0.2835051262976266
2024-11-22,1.75,-1.0078984528071513,-1.0078984528071513
2024-11-25,4.5,0.32015597912697735,0.32015597912697735
2024-11-26,2.0,-0.8871662317222305,-0.8871662317222305
2024-11-29,5.0,0.5616204212968189,0.5616204212968189
2024-12-02,5.0,0.5616204212968189,0.5616204212968189
2024-12-03,5.75,0.9238170845515813,0.9238170845515813
2024-12-04,3.5,-0.1627729052127058,-0.1627729052127058
2024-12-05,5.25,0.6823526423817396,0.6823526423817396
2024-12-09,3.25,-0.2835051262976266,-0.2835051262976266
2024-12-10,3.75,-0.04204068412778501,-0.04204068412778501
2024-12-13,2.5,-0.6457017895523889,-0.6457017895523889
2024-12-16,1.75,-1.0078984528071513,-1.0078984528071513
2024-12-17,1.5,-1.128630673892072,-1.128630673892072
2024-12-18,15.5,5.632373706863492,5.632373706863492
2024-12-23,4.0,0.07869153695713578,0.07869153695713578
2024-12-24,3.25,-0.2835051262976266,-0.2835051262976266
2024-12-26,6.0,1.044549305636502,1.044549305636502
2024-12-27,2.5,-0.6457017895523889,-0.6457017895523889
2024-12-30,2.25,-0.7664340106373096,-0.7664340106373096
2024-12-31,2.25,-0.7664340106373096,-0.7664340106373096
2025-01-02,4.25,0.19942375804205656,0.19942375804205656
2025-01-03,2.75,-0.5249695684674681,-0.5249695684674681
2025-01-06,2.5,-0.6457017895523889,-0.6457017895523889
2025-01-07,2.25,-0.7664340106373096,-0.7664340106373096
2025-01-08,3.0,-0.40423734738254735,-0.40423734738254735
2025-01-09,2.5,-0.6457017895523889,-0.6457017895523889
2025-01-13,3.0,-0.40423734738254735,-0.40423734738254735
2025-01-16,3.5,-0.1627729052127058,-0.1627729052127058
2025-01-17,2.75,-0.5249695684674681,-0.5249695684674681
2025-01-20,2.75,-0.5249695684674681,-0.5249695684674681
