Volatility of Returns Statistic,"(Session:London 0-7 ET, Interval:1m, Symbol:ZT)"
count,237.0
mean,1.067550194996045
std,1.0911263661383963
min,0.1875
10%,0.375
25%,0.5
50%,0.6875
75%,1.0625
95%,3.874999999999993
99%,5.454999999999998
max,5.9375
skewness,2.8248432721004835
kurtosis,7.781747161527228
