"(Return Stats:- Interval:15m, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,225.0,224.0,242.0,226.0,248.0,289.0
mean,1.9222222222222223,1.8180803571428572,1.9855371900826446,0.9192477876106194,1.3699596774193548,3.5951557093425603
std,1.6699001372099975,1.787975876074419,1.855181574101311,1.1692139280044214,1.6865972014162114,3.6048930953833622
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.25,0.0,0.0,0.0
25%,0.5,0.5,0.5,0.25,0.4375,1.0
50%,1.5,1.5,1.5,0.5,1.0,3.0
68%,2.25,2.0,2.25,1.0,1.5,4.25
90%,4.25,3.6750000000000043,4.475000000000001,2.0,3.0,7.5
95%,5.25,4.962499999999999,5.987499999999997,2.5,4.0,9.25
99%,7.949999999999989,9.02000000000001,8.045000000000002,5.875,6.75,15.25
99.7%,8.582,11.494749999999975,9.026999999999987,8.631249999999952,10.284249999999851,23.008000000000223
max,8.75,13.0,9.75,11.5,18.25,31.0
