Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,0.625,-0.700301359214321,-0.700301359214321
2024-10-15,0.875,-0.5082000753854918,-0.5082000753854918
2024-10-16,0.75,-0.6042507172999064,-0.6042507172999064
2024-10-17,1.0,-0.4121494334710773,-0.4121494334710773
2024-10-18,0.75,-0.6042507172999064,-0.6042507172999064
2024-10-21,1.0,-0.4121494334710773,-0.4121494334710773
2024-10-22,0.875,-0.5082000753854918,-0.5082000753854918
2024-10-23,1.125,-0.3160987915566627,-0.3160987915566627
2024-10-24,1.25,-0.22004814964224811,-0.22004814964224811
2024-10-25,1.375,-0.12399750772783354,-0.12399750772783354
2024-10-28,1.375,-0.12399750772783354,-0.12399750772783354
2024-10-29,2.125,0.452306343758654,0.452306343758654
2024-11-04,2.0,0.3562557018442394,0.3562557018442394
2024-11-05,1.875,0.2602050599298248,0.2602050599298248
2024-11-06,1.5,-0.027946865813418948,-0.027946865813418948
2024-11-07,2.5,0.7404582695018977,0.7404582695018977
2024-11-08,1.0,-0.4121494334710773,-0.4121494334710773
2024-11-11,1.375,-0.12399750772783354,-0.12399750772783354
2024-11-12,1.0,-0.4121494334710773,-0.4121494334710773
2024-11-15,1.25,-0.22004814964224811,-0.22004814964224811
2024-11-18,1.0,-0.4121494334710773,-0.4121494334710773
2024-11-19,1.25,-0.22004814964224811,-0.22004814964224811
2024-11-20,0.875,-0.5082000753854918,-0.5082000753854918
2024-11-21,1.0,-0.4121494334710773,-0.4121494334710773
2024-11-22,1.25,-0.22004814964224811,-0.22004814964224811
2024-11-25,0.875,-0.5082000753854918,-0.5082000753854918
2024-11-26,1.25,-0.22004814964224811,-0.22004814964224811
2024-12-02,3.875,1.7970153305604581,1.7970153305604581
2024-12-03,3.875,1.7970153305604581,1.7970153305604581
2024-12-04,1.0,-0.4121494334710773,-0.4121494334710773
2024-12-05,3.625,1.604914046731629,1.604914046731629
2024-12-09,3.0,1.1246608371595561,1.1246608371595561
2024-12-10,0.875,-0.5082000753854918,-0.5082000753854918
2024-12-13,2.75,0.9325595533307269,0.9325595533307269
2024-12-16,1.0,-0.4121494334710773,-0.4121494334710773
2024-12-17,1.25,-0.22004814964224811,-0.22004814964224811
2024-12-18,2.875,1.0286101952451414,1.0286101952451414
2024-12-23,1.0,-0.4121494334710773,-0.4121494334710773
2024-12-26,0.625,-0.700301359214321,-0.700301359214321
2024-12-27,0.875,-0.5082000753854918,-0.5082000753854918
