Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,4.0,-1.0995973189893196,-1.0995973189893196
2024-10-14,14.5,-0.06645774080356415,-0.06645774080356415
2024-10-15,17.0,0.17952787305018714,0.17952787305018714
2024-10-16,8.0,-0.7060203368233174,-0.7060203368233174
2024-10-17,20.0,0.4747106096746887,0.4747106096746887
2024-10-18,15.0,-0.01726061803281389,-0.01726061803281389
2024-10-20,4.5,-1.0504001962185694,-1.0504001962185694
2024-10-21,32.0,1.655441556172695,1.655441556172695
2024-10-22,13.5,-0.16485198634506465,-0.16485198634506465
2024-10-23,8.5,-0.6568232140525673,-0.6568232140525673
2024-10-24,15.0,-0.01726061803281389,-0.01726061803281389
2024-10-25,18.0,0.27792211859168764,0.27792211859168764
2024-10-27,19.0,0.37631636413318814,0.37631636413318814
2024-10-28,16.0,0.08113362750868662,0.08113362750868662
2024-10-29,21.0,0.5731048552161891,0.5731048552161891
2024-11-03,8.0,-0.7060203368233174,-0.7060203368233174
2024-11-04,14.0,-0.1156548635743144,-0.1156548635743144
2024-11-05,50.0,3.426537975919704,3.426537975919704
2024-11-06,27.0,1.1634703284651924,1.1634703284651924
2024-11-07,29.0,1.3602588195481933,1.3602588195481933
2024-11-08,20.0,0.4747106096746887,0.4747106096746887
2024-11-10,8.5,-0.6568232140525673,-0.6568232140525673
2024-11-11,15.0,-0.01726061803281389,-0.01726061803281389
2024-11-12,30.5,1.507850187860444,1.507850187860444
2024-11-15,21.0,0.5731048552161891,0.5731048552161891
2024-11-17,4.5,-1.0504001962185694,-1.0504001962185694
2024-11-18,21.5,0.6223019779869394,0.6223019779869394
2024-11-19,17.0,0.17952787305018714,0.17952787305018714
2024-11-20,12.5,-0.26324623188656515,-0.26324623188656515
2024-11-21,14.5,-0.06645774080356415,-0.06645774080356415
2024-11-22,12.5,-0.26324623188656515,-0.26324623188656515
2024-11-24,9.5,-0.5584289685110667,-0.5584289685110667
2024-11-25,24.0,0.8682875918406907,0.8682875918406907
2024-11-26,10.5,-0.4600347229695662,-0.4600347229695662
2024-11-28,7.5,-0.7552174595940677,-0.7552174595940677
2024-11-29,13.0,-0.21404910911581493,-0.21404910911581493
2024-12-01,9.0,-0.607626091281817,-0.607626091281817
2024-12-02,19.0,0.37631636413318814,0.37631636413318814
2024-12-03,20.0,0.4747106096746887,0.4747106096746887
2024-12-04,21.5,0.6223019779869394,0.6223019779869394
2024-12-05,15.5,0.03193650473793637,0.03193650473793637
2024-12-08,5.0,-1.001203073447819,-1.001203073447819
2024-12-09,17.0,0.17952787305018714,0.17952787305018714
2024-12-10,15.5,0.03193650473793637,0.03193650473793637
2024-12-13,22.0,0.6714991007576897,0.6714991007576897
2024-12-15,2.5,-1.2471886873015703,-1.2471886873015703
2024-12-16,10.5,-0.4600347229695662,-0.4600347229695662
2024-12-17,15.5,0.03193650473793637,0.03193650473793637
2024-12-18,28.5,1.311061696777443,1.311061696777443
2024-12-22,4.0,-1.0995973189893196,-1.0995973189893196
2024-12-23,16.5,0.13033075027943689,0.13033075027943689
2024-12-24,12.0,-0.31244335465731543,-0.31244335465731543
2024-12-25,6.5,-0.8536117051355683,-0.8536117051355683
2024-12-26,15.5,0.03193650473793637,0.03193650473793637
2024-12-27,15.0,-0.01726061803281389,-0.01726061803281389
2024-12-29,3.0,-1.1979915645308201,-1.1979915645308201
2024-12-30,21.5,0.6223019779869394,0.6223019779869394
2024-12-31,18.0,0.27792211859168764,0.27792211859168764
2025-01-01,7.5,-0.7552174595940677,-0.7552174595940677
2025-01-02,18.0,0.27792211859168764,0.27792211859168764
2025-01-03,14.5,-0.06645774080356415,-0.06645774080356415
2025-01-05,7.5,-0.7552174595940677,-0.7552174595940677
2025-01-06,15.0,-0.01726061803281389,-0.01726061803281389
2025-01-07,20.0,0.4747106096746887,0.4747106096746887
2025-01-08,15.5,0.03193650473793637,0.03193650473793637
2025-01-09,12.0,-0.31244335465731543,-0.31244335465731543
2025-01-12,7.5,-0.7552174595940677,-0.7552174595940677
2025-01-13,11.0,-0.41083760019881593,-0.41083760019881593
2025-01-16,19.0,0.37631636413318814,0.37631636413318814
2025-01-17,12.5,-0.26324623188656515,-0.26324623188656515
2025-01-19,3.0,-1.1979915645308201,-1.1979915645308201
2025-01-20,25.5,1.0158789601529414,1.0158789601529414
2025-01-21,11.0,-0.41083760019881593,-0.41083760019881593
2025-01-22,11.5,-0.3616404774280657,-0.3616404774280657
2025-01-23,15.5,0.03193650473793637,0.03193650473793637
2025-01-24,8.5,-0.6568232140525673,-0.6568232140525673
2025-01-26,10.5,-0.4600347229695662,-0.4600347229695662
2025-01-27,18.0,0.27792211859168764,0.27792211859168764
2025-01-28,11.5,-0.3616404774280657,-0.3616404774280657
2025-01-29,17.0,0.17952787305018714,0.17952787305018714
2025-02-02,17.5,0.2287249958209374,0.2287249958209374
2025-02-03,18.5,0.3271192413624379,0.3271192413624379
2025-02-04,20.5,0.523907732445439,0.523907732445439
2025-02-05,26.5,1.114273205694442,1.114273205694442
2025-02-06,11.0,-0.41083760019881593,-0.41083760019881593
2025-02-09,4.5,-1.0504001962185694,-1.0504001962185694
2025-02-10,11.0,-0.41083760019881593,-0.41083760019881593
2025-02-11,14.5,-0.06645774080356415,-0.06645774080356415
2025-02-14,21.5,0.6223019779869394,0.6223019779869394
2025-02-16,5.5,-0.9520059506770687,-0.9520059506770687
2025-02-17,7.0,-0.804414582364818,-0.804414582364818
