Date,"Volatility of Returns (Session:All day, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-11-03,3.75,-0.7351470637805275,-0.7351470637805275
2024-11-04,7.25,0.0018171055981911063,0.0018171055981911063
2024-11-05,23.25,3.370796165615191,3.370796165615191
2024-11-06,9.25,0.42293948810031606,0.42293948810031606
2024-11-07,17.25,2.107429018108816,2.107429018108816
2024-11-08,6.75,-0.10346349002734014,-0.10346349002734014
2024-11-10,3.75,-0.7351470637805275,-0.7351470637805275
2024-11-11,6.25,-0.20874408565287136,-0.20874408565287136
2024-11-12,10.0,0.5808603815386129,0.5808603815386129
2024-11-15,11.0,0.7914215727896754,0.7914215727896754
2024-11-17,3.25,-0.8404276594060588,-0.8404276594060588
2024-11-18,15.75,1.7915872312322223,1.7915872312322223
2024-11-19,9.75,0.5282200837258473,0.5282200837258473
2024-11-20,6.25,-0.20874408565287136,-0.20874408565287136
2024-11-21,7.0,-0.050823192214574514,-0.050823192214574514
2024-11-22,5.0,-0.47194557471669946,-0.47194557471669946
2024-11-24,4.25,-0.6298664681549963,-0.6298664681549963
2024-11-25,11.5,0.8967021684152066,0.8967021684152066
2024-11-26,10.25,0.6335006793513785,0.6335006793513785
2024-11-29,5.75,-0.3140246812784026,-0.3140246812784026
2024-12-01,6.0,-0.26138438346563697,-0.26138438346563697
2024-12-02,11.25,0.844061870602441,0.844061870602441
2024-12-03,12.0,1.001982764040738,1.001982764040738
2024-12-04,13.5,1.3178245509173316,1.3178245509173316
2024-12-05,8.25,0.21237829684925358,0.21237829684925358
2024-12-08,5.25,-0.4193052769039338,-0.4193052769039338
2024-12-09,8.5,0.2650185946620192,0.2650185946620192
2024-12-10,6.5,-0.15610378784010576,-0.15610378784010576
2024-12-13,8.25,0.21237829684925358,0.21237829684925358
2024-12-15,2.25,-1.0509888506571212,-1.0509888506571212
2024-12-16,7.0,-0.050823192214574514,-0.050823192214574514
2024-12-17,7.25,0.0018171055981911063,0.0018171055981911063
2024-12-18,19.5,2.5811916984237064,2.5811916984237064
2024-12-22,3.0,-0.8930679572188244,-0.8930679572188244
2024-12-23,6.75,-0.10346349002734014,-0.10346349002734014
2024-12-24,4.5,-0.5772261703422307,-0.5772261703422307
2024-12-25,3.25,-0.8404276594060588,-0.8404276594060588
2024-12-26,8.0,0.15973799903648797,0.15973799903648797
2024-12-27,5.75,-0.3140246812784026,-0.3140246812784026
2024-12-29,4.5,-0.5772261703422307,-0.5772261703422307
2024-12-30,10.25,0.6335006793513785,0.6335006793513785
2024-12-31,7.0,-0.050823192214574514,-0.050823192214574514
2025-01-01,7.25,0.0018171055981911063,0.0018171055981911063
