Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-09-30,2.0,-0.3317556148253178,-0.3317556148253178
2024-10-01,2.5,-0.13150673020102688,-0.13150673020102688
2024-10-02,2.0,-0.3317556148253178,-0.3317556148253178
2024-10-03,1.25,-0.6321289417617542,-0.6321289417617542
2024-10-06,3.25,0.16886659673540946,0.16886659673540946
2024-10-07,3.75,0.3691154813597004,0.3691154813597004
2024-10-08,1.75,-0.43188005713746325,-0.43188005713746325
2024-10-09,1.75,-0.43188005713746325,-0.43188005713746325
2024-10-13,1.5,-0.5320044994496087,-0.5320044994496087
2024-10-14,2.75,-0.031382287888881436,-0.031382287888881436
2024-10-15,1.25,-0.6321289417617542,-0.6321289417617542
2024-10-16,2.25,-0.23163117251317233,-0.23163117251317233
2024-10-17,1.5,-0.5320044994496087,-0.5320044994496087
2024-10-20,2.0,-0.3317556148253178,-0.3317556148253178
2024-10-21,2.75,-0.031382287888881436,-0.031382287888881436
2024-10-22,3.25,0.16886659673540946,0.16886659673540946
2024-10-23,3.5,0.26899103904755495,0.26899103904755495
2024-10-24,2.5,-0.13150673020102688,-0.13150673020102688
2024-10-27,6.0,1.2702354621690095,1.2702354621690095
2024-10-28,2.25,-0.23163117251317233,-0.23163117251317233
2024-10-29,2.25,-0.23163117251317233,-0.23163117251317233
2024-11-03,3.75,0.3691154813597004,0.3691154813597004
2024-11-04,2.5,-0.13150673020102688,-0.13150673020102688
2024-11-05,23.25,8.178821981707046,8.178821981707046
2024-11-06,2.75,-0.031382287888881436,-0.031382287888881436
2024-11-07,3.0,0.06874215442326402,0.06874215442326402
2024-11-10,3.75,0.3691154813597004,0.3691154813597004
2024-11-11,2.75,-0.031382287888881436,-0.031382287888881436
2024-11-12,2.5,-0.13150673020102688,-0.13150673020102688
2024-11-17,2.5,-0.13150673020102688,-0.13150673020102688
2024-11-18,2.0,-0.3317556148253178,-0.3317556148253178
2024-11-19,2.25,-0.23163117251317233,-0.23163117251317233
2024-11-20,1.25,-0.6321289417617542,-0.6321289417617542
2024-11-21,1.75,-0.43188005713746325,-0.43188005713746325
2024-11-24,3.75,0.3691154813597004,0.3691154813597004
2024-11-25,3.5,0.26899103904755495,0.26899103904755495
2024-11-26,2.0,-0.3317556148253178,-0.3317556148253178
2024-11-28,4.25,0.5693643659839913,0.5693643659839913
2024-12-01,4.5,0.6694888082961368,0.6694888082961368
2024-12-02,5.0,0.8697376929204277,0.8697376929204277
2024-12-03,4.5,0.6694888082961368,0.6694888082961368
2024-12-04,2.5,-0.13150673020102688,-0.13150673020102688
2024-12-05,3.25,0.16886659673540946,0.16886659673540946
2024-12-08,4.0,0.46923992367184586,0.46923992367184586
2024-12-09,3.75,0.3691154813597004,0.3691154813597004
2024-12-10,2.25,-0.23163117251317233,-0.23163117251317233
2024-12-15,1.75,-0.43188005713746325,-0.43188005713746325
2024-12-16,1.75,-0.43188005713746325,-0.43188005713746325
2024-12-17,2.0,-0.3317556148253178,-0.3317556148253178
2024-12-18,2.5,-0.13150673020102688,-0.13150673020102688
2024-12-22,1.75,-0.43188005713746325,-0.43188005713746325
2024-12-23,1.25,-0.6321289417617542,-0.6321289417617542
2024-12-25,3.25,0.16886659673540946,0.16886659673540946
2024-12-26,2.0,-0.3317556148253178,-0.3317556148253178
2024-12-29,1.5,-0.5320044994496087,-0.5320044994496087
2024-12-30,2.0,-0.3317556148253178,-0.3317556148253178
2025-01-01,3.25,0.16886659673540946,0.16886659673540946
2025-01-02,2.0,-0.3317556148253178,-0.3317556148253178
2025-01-05,3.5,0.26899103904755495,0.26899103904755495
2025-01-06,2.75,-0.031382287888881436,-0.031382287888881436
2025-01-07,2.0,-0.3317556148253178,-0.3317556148253178
2025-01-08,3.0,0.06874215442326402,0.06874215442326402
2025-01-09,2.25,-0.23163117251317233,-0.23163117251317233
2025-01-12,4.25,0.5693643659839913,0.5693643659839913
2025-01-13,2.5,-0.13150673020102688,-0.13150673020102688
2025-01-16,1.5,-0.5320044994496087,-0.5320044994496087
2025-01-19,2.25,-0.23163117251317233,-0.23163117251317233
2025-01-20,6.0,1.2702354621690095,1.2702354621690095
2025-01-21,2.25,-0.23163117251317233,-0.23163117251317233
2025-01-22,1.5,-0.5320044994496087,-0.5320044994496087
2025-01-23,3.75,0.3691154813597004,0.3691154813597004
2025-01-26,4.0,0.46923992367184586,0.46923992367184586
2025-01-27,3.0,0.06874215442326402,0.06874215442326402
2025-01-28,2.25,-0.23163117251317233,-0.23163117251317233
2025-01-29,2.25,-0.23163117251317233,-0.23163117251317233
2025-02-02,9.5,2.6719776545390457,2.6719776545390457
2025-02-03,2.25,-0.23163117251317233,-0.23163117251317233
2025-02-04,2.25,-0.23163117251317233,-0.23163117251317233
2025-02-05,1.75,-0.43188005713746325,-0.43188005713746325
2025-02-06,2.0,-0.3317556148253178,-0.3317556148253178
2025-02-09,2.75,-0.031382287888881436,-0.031382287888881436
2025-02-10,1.75,-0.43188005713746325,-0.43188005713746325
2025-02-11,3.0,0.06874215442326402,0.06874215442326402
2025-02-16,2.75,-0.031382287888881436,-0.031382287888881436
2025-02-17,3.25,0.16886659673540946,0.16886659673540946
2025-02-18,1.5,-0.5320044994496087,-0.5320044994496087
2025-02-19,2.5,-0.13150673020102688,-0.13150673020102688
2025-02-20,2.75,-0.031382287888881436,-0.031382287888881436
2025-02-23,1.5,-0.5320044994496087,-0.5320044994496087
2025-02-24,3.5,0.26899103904755495,0.26899103904755495
