Volatility of Returns Statistic,"(Session:Asia 18-24 ET, Interval:15m, Symbol:ZN)"
count,248.0
mean,2.9788306451612905
std,2.3795487961433177
min,0.0
10%,1.25
25%,1.5
50%,2.5
75%,3.5
95%,6.662499999999994
99%,10.3975
max,22.5
skewness,3.4254038813107934
kurtosis,20.62546076835908
