Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-11-03,3.75,-0.004907674947121544,-0.004907674947121544
2024-11-04,3.5,-0.11271859762753457,-0.11271859762753457
2024-11-05,10.75,3.013798160104443,3.013798160104443
2024-11-06,2.75,-0.43615136566877366,-0.43615136566877366
2024-11-07,4.0,0.10290324773329147,0.10290324773329147
2024-11-08,1.75,-0.8673950563904257,-0.8673950563904257
2024-11-10,3.0,-0.3283404429883606,-0.3283404429883606
2024-11-11,3.0,-0.3283404429883606,-0.3283404429883606
2024-11-12,0.5,-1.4064496697924909,-1.4064496697924909
2024-11-15,2.25,-0.6517732110295997,-0.6517732110295997
2024-11-17,2.0,-0.7595841337100127,-0.7595841337100127
2024-11-18,1.5,-0.9752059790708387,-0.9752059790708387
2024-11-19,3.0,-0.3283404429883606,-0.3283404429883606
2024-11-20,2.0,-0.7595841337100127,-0.7595841337100127
2024-11-21,1.75,-0.8673950563904257,-0.8673950563904257
2024-11-22,2.0,-0.7595841337100127,-0.7595841337100127
2024-11-24,3.75,-0.004907674947121544,-0.004907674947121544
2024-11-25,3.5,-0.11271859762753457,-0.11271859762753457
2024-11-26,1.75,-0.8673950563904257,-0.8673950563904257
2024-12-01,5.0,0.5341469384549435,0.5341469384549435
2024-12-02,4.5,0.31852509309411753,0.31852509309411753
2024-12-03,3.5,-0.11271859762753457,-0.11271859762753457
2024-12-04,3.0,-0.3283404429883606,-0.3283404429883606
2024-12-05,3.75,-0.004907674947121544,-0.004907674947121544
2024-12-08,3.75,-0.004907674947121544,-0.004907674947121544
2024-12-09,3.0,-0.3283404429883606,-0.3283404429883606
2024-12-10,2.75,-0.43615136566877366,-0.43615136566877366
2024-12-13,1.5,-0.9752059790708387,-0.9752059790708387
2024-12-15,1.75,-0.8673950563904257,-0.8673950563904257
2024-12-16,1.5,-0.9752059790708387,-0.9752059790708387
2024-12-17,2.0,-0.7595841337100127,-0.7595841337100127
2024-12-18,4.25,0.2107141704137045,0.2107141704137045
2024-12-22,1.75,-0.8673950563904257,-0.8673950563904257
2024-12-23,1.5,-0.9752059790708387,-0.9752059790708387
2024-12-25,1.25,-1.0830169017512519,-1.0830169017512519
2024-12-26,1.5,-0.9752059790708387,-0.9752059790708387
2024-12-27,1.5,-0.9752059790708387,-0.9752059790708387
2024-12-29,1.5,-0.9752059790708387,-0.9752059790708387
2024-12-30,2.0,-0.7595841337100127,-0.7595841337100127
2024-12-31,1.25,-1.0830169017512519,-1.0830169017512519
2025-01-01,3.0,-0.3283404429883606,-0.3283404429883606
2025-01-02,2.0,-0.7595841337100127,-0.7595841337100127
2025-01-03,0.5,-1.4064496697924909,-1.4064496697924909
2025-01-05,2.0,-0.7595841337100127,-0.7595841337100127
2025-01-06,2.25,-0.6517732110295997,-0.6517732110295997
2025-01-07,1.75,-0.8673950563904257,-0.8673950563904257
2025-01-08,3.25,-0.2205295203079476,-0.2205295203079476
2025-01-09,0.75,-1.2986387471120777,-1.2986387471120777
2025-01-12,2.75,-0.43615136566877366,-0.43615136566877366
2025-01-13,4.5,0.31852509309411753,0.31852509309411753
2025-01-16,2.25,-0.6517732110295997,-0.6517732110295997
2025-01-17,3.0040283203122726,-0.3266032552694872,-0.3266032552694872
2025-01-19,1.25,-1.0830169017512519,-1.0830169017512519
2025-01-20,5.0,0.5341469384549435,0.5341469384549435
2025-01-21,3.75,-0.004907674947121544,-0.004907674947121544
2025-01-22,2.5,-0.5439622883491867,-0.5439622883491867
2025-01-23,1.25,-1.0830169017512519,-1.0830169017512519
2025-01-24,1.25,-1.0830169017512519,-1.0830169017512519
2025-01-26,2.75,-0.43615136566877366,-0.43615136566877366
2025-01-27,4.0,0.10290324773329147,0.10290324773329147
2025-01-28,2.5,-0.5439622883491867,-0.5439622883491867
2025-01-29,3.0,-0.3283404429883606,-0.3283404429883606
2025-02-02,6.0,0.9653906291765957,0.9653906291765957
2025-02-03,4.5,0.31852509309411753,0.31852509309411753
2025-02-04,2.0,-0.7595841337100127,-0.7595841337100127
2025-02-05,3.5,-0.11271859762753457,-0.11271859762753457
2025-02-06,4.0,0.10290324773329147,0.10290324773329147
2025-02-09,2.75,-0.43615136566877366,-0.43615136566877366
2025-02-10,4.0,0.10290324773329147,0.10290324773329147
2025-02-11,2.5,-0.5439622883491867,-0.5439622883491867
2025-02-14,3.25,-0.2205295203079476,-0.2205295203079476
2025-02-17,1.0,-1.1908278244316648,-1.1908278244316648
2025-02-18,2.0,-0.7595841337100127,-0.7595841337100127
2025-02-19,2.75,-0.43615136566877366,-0.43615136566877366
2025-02-20,1.25,-1.0830169017512519,-1.0830169017512519
2025-02-21,6.25,1.0732015518570086,1.0732015518570086
2025-02-24,3.5,-0.11271859762753457,-0.11271859762753457
2025-02-25,4.0,0.10290324773329147,0.10290324773329147
2025-02-26,8.75,2.1513107786611387,2.1513107786611387
2025-03-03,4.25,0.2107141704137045,0.2107141704137045
2025-03-04,12.0,3.5528527735065083,3.5528527735065083
2025-03-05,4.0,0.10290324773329147,0.10290324773329147
2025-03-06,7.5,1.612256165259074,1.612256165259074
2025-03-10,3.25,-0.2205295203079476,-0.2205295203079476
2025-03-11,10.5,2.90598723742403,2.90598723742403
2025-03-14,3.25,-0.2205295203079476,-0.2205295203079476
2025-03-17,6.25,1.0732015518570086,1.0732015518570086
2025-03-18,5.5,0.7497687838157696,0.7497687838157696
2025-03-19,8.75,2.1513107786611387,2.1513107786611387
2025-03-20,5.5,0.7497687838157696,0.7497687838157696
2025-03-21,5.0,0.5341469384549435,0.5341469384549435
2025-03-24,2.75,-0.43615136566877366,-0.43615136566877366
2025-03-25,3.5,-0.11271859762753457,-0.11271859762753457
2025-03-26,4.0,0.10290324773329147,0.10290324773329147
2025-03-31,5.75,0.8575797064961826,0.8575797064961826
2025-04-01,4.75,0.42633601577453056,0.42633601577453056
2025-04-02,10.25,2.798176314743617,2.798176314743617
2025-04-03,8.75,2.1513107786611387,2.1513107786611387
2025-04-04,17.25,5.816882149795181,5.816882149795181
2025-04-07,9.5,2.474743546702378,2.474743546702378
2025-04-08,9.0,2.259121701341552,2.259121701341552
2025-04-09,10.75,3.013798160104443,3.013798160104443
2025-04-14,8.0,1.8278780106198997,1.8278780106198997
2025-04-15,7.5,1.612256165259074,1.612256165259074
2025-04-16,8.75,2.1513107786611387,2.1513107786611387
2025-04-17,5.75,0.8575797064961826,0.8575797064961826
2025-04-21,7.75,1.7200670879394868,1.7200670879394868
2025-04-22,3.25,-0.2205295203079476,-0.2205295203079476
2025-04-23,7.0,1.3966343198982478,1.3966343198982478
2025-04-24,4.0,0.10290324773329147,0.10290324773329147
2025-04-25,5.75,0.8575797064961826,0.8575797064961826
2025-04-28,6.75,1.2888233972178347,1.2888233972178347
