Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,0.5,-0.8921622505551725,-0.8921622505551725
2024-10-14,1.625,-0.2416743256159149,-0.2416743256159149
2024-10-15,1.375,-0.3862271978246388,-0.3862271978246388
2024-10-16,1.0625007999999525,-0.5669178255163801,-0.5669178255163801
2024-10-17,1.5624992000000475,-0.27781300623725946,-0.27781300623725946
2024-10-18,1.3124992000000475,-0.4223658784459834,-0.4223658784459834
2024-10-20,0.375,-0.9644386866595345,-0.9644386866595345
2024-10-21,3.125,0.6256429076364286,0.6256429076364286
2024-10-22,1.5624992000000475,-0.27781300623725946,-0.27781300623725946
2024-10-23,1.3125007999999525,-0.42236495330765617,-0.42236495330765617
2024-10-24,1.375,-0.3862271978246388,-0.3862271978246388
2024-10-25,2.625,0.3365371632189808,0.3365371632189808
2024-10-27,1.0,-0.6030565061377247,-0.6030565061377247
2024-10-28,1.875,-0.09712145340719097,-0.09712145340719097
2024-10-29,2.5,0.26426072711461884,0.26426072711461884
2024-11-03,1.1874992000000475,-0.49464231455034535,-0.49464231455034535
2024-11-04,1.75,-0.16939788951155293,-0.16939788951155293
2024-11-05,4.6874992000000475,1.5290978963717896,1.5290978963717896
2024-11-06,2.25,0.11970785490589492,0.11970785490589492
2024-11-07,2.375,0.19198429101025688,0.19198429101025688
2024-11-08,2.75,0.40881359932334277,0.40881359932334277
2024-11-10,0.75,-0.7476093783464486,-0.7476093783464486
2024-11-11,1.375,-0.3862271978246388,-0.3862271978246388
2024-11-12,2.0,-0.02484501730282901,-0.02484501730282901
2024-11-15,3.125,0.6256429076364286,0.6256429076364286
2024-11-17,0.8124992000000475,-0.7114716228634312,-0.7114716228634312
2024-11-18,1.6874992000000475,-0.20553657013289753,-0.20553657013289753
2024-11-19,2.3125007999999525,0.15584653552723948,0.15584653552723948
2024-11-20,1.25,-0.4585036339290008,-0.4585036339290008
2024-11-21,2.0,-0.02484501730282901,-0.02484501730282901
2024-11-22,1.875,-0.09712145340719097,-0.09712145340719097
2024-11-24,0.875,-0.6753329422420866,-0.6753329422420866
2024-11-25,2.6874992000000475,0.37267491870199815,0.37267491870199815
2024-11-26,1.75,-0.16939788951155293,-0.16939788951155293
2024-11-28,0.875,-0.6753329422420866,-0.6753329422420866
2024-11-29,4.6875,1.529098358940953,1.529098358940953
2024-12-01,3.875,1.0593015242626005,1.0593015242626005
2024-12-02,4.75,1.565236576993134,1.565236576993134
2024-12-03,1.5625,-0.2778125436680959,-0.2778125436680959
2024-12-04,2.75,0.40881359932334277,0.40881359932334277
2024-12-05,3.375,0.7701957798451525,0.7701957798451525
2024-12-09,2.4375,0.22812250906243786,0.22812250906243786
2024-12-10,2.1875,0.08356963685371394,0.08356963685371394
2024-12-13,2.125,0.04743141880153295,0.04743141880153295
2024-12-15,0.4375,-0.9283004686073535,-0.9283004686073535
2024-12-16,1.4375,-0.35008897977245784,-0.35008897977245784
2024-12-17,1.9375,-0.06098323535500999,-0.06098323535500999
2024-12-18,5.3125,1.8904805394627628,1.8904805394627628
2024-12-22,0.4375,-0.9283004686073535,-0.9283004686073535
2024-12-23,1.1875,-0.49464185198118177,-0.49464185198118177
2024-12-24,1.0,-0.6030565061377247,-0.6030565061377247
2024-12-25,0.75,-0.7476093783464486,-0.7476093783464486
2024-12-26,1.375,-0.3862271978246388,-0.3862271978246388
2024-12-27,1.1875,-0.49464185198118177,-0.49464185198118177
2024-12-29,0.375,-0.9644386866595345,-0.9644386866595345
2024-12-30,2.625,0.3365371632189808,0.3365371632189808
2024-12-31,1.5,-0.31395076172027686,-0.31395076172027686
2025-01-01,0.8125,-0.7114711602942676,-0.7114711602942676
2025-01-02,2.0,-0.02484501730282901,-0.02484501730282901
2025-01-03,1.75,-0.16939788951155293,-0.16939788951155293
2025-01-05,0.5625,-0.8560240325029915,-0.8560240325029915
2025-01-06,1.5,-0.31395076172027686,-0.31395076172027686
2025-01-07,1.625,-0.2416743256159149,-0.2416743256159149
2025-01-08,1.6875,-0.20553610756373392,-0.20553610756373392
2025-01-09,1.125,-0.5307800700333627,-0.5307800700333627
2025-01-12,1.0,-0.6030565061377247,-0.6030565061377247
2025-01-13,1.75,-0.16939788951155293,-0.16939788951155293
2025-01-16,2.5625,0.3003989451667998,0.3003989451667998
2025-01-17,2.0625,0.011293200749351969,0.011293200749351969
2025-01-19,0.6875,-0.7837475963986296,-0.7837475963986296
2025-01-20,2.375,0.19198429101025688,0.19198429101025688
2025-01-21,1.9375,-0.06098323535500999,-0.06098323535500999
2025-01-22,1.375,-0.3862271978246388,-0.3862271978246388
2025-01-23,1.625,-0.2416743256159149,-0.2416743256159149
2025-01-24,1.3125,-0.4223654158768198,-0.4223654158768198
2025-01-26,0.6875,-0.7837475963986296,-0.7837475963986296
2025-01-27,2.625,0.3365371632189808,0.3365371632189808
2025-01-28,1.4375,-0.35008897977245784,-0.35008897977245784
2025-01-29,2.3125,0.1558460729580759,0.1558460729580759
2025-02-02,1.5625,-0.2778125436680959,-0.2778125436680959
2025-02-03,1.5625,-0.2778125436680959,-0.2778125436680959
2025-02-04,1.9375,-0.06098323535500999,-0.06098323535500999
2025-02-05,1.6875,-0.20553610756373392,-0.20553610756373392
2025-02-06,0.875,-0.6753329422420866,-0.6753329422420866
2025-02-09,0.5625,-0.8560240325029915,-0.8560240325029915
2025-02-10,1.375,-0.3862271978246388,-0.3862271978246388
2025-02-11,0.9375,-0.6391947241899056,-0.6391947241899056
