Volatility of Returns Statistic,"(Session:London 0-7 ET, Interval:1h, Symbol:ZN)"
count,577.0
mean,4.465826659310009
std,2.667585038176527
min,1.25
10%,2.25
25%,3.0
50%,3.75
75%,5.0
95%,9.299999999999983
99%,15.560000000000002
max,28.25
skewness,3.429319373832918
kurtosis,18.754979341837764
