Date,"Volatility of Returns (Session:All day, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2022-12-20,7.5,-0.15990796698702123,-0.15990796698702123
2022-12-21,11.0,0.5299099351364484,0.5299099351364484
2022-12-27,12.75,0.8748188861981832,0.8748188861981832
2022-12-28,9.0,0.13572827678018,0.13572827678018
2022-12-29,6.5,-0.3569987961651554,-0.3569987961651554
2022-12-30,9.25,0.18500098407471358,0.18500098407471358
2023-01-03,9.25,0.18500098407471358,0.18500098407471358
2023-01-04,7.0,-0.2584533815760883,-0.2584533815760883
2023-01-05,7.5,-0.15990796698702123,-0.15990796698702123
2023-01-08,2.75,-1.0960894055831585,-1.0960894055831585
2023-01-09,11.25,0.5791826424309819,0.5791826424309819
2023-01-10,11.5,0.6284553497255154,0.6284553497255154
2023-01-11,8.5,0.03718286219111294,0.03718286219111294
2023-01-13,11.75,0.677728057020049,0.677728057020049
2023-01-15,3.0,-1.046816698288625,-1.046816698288625
2023-01-17,13.25,0.9733643007872502,0.9733643007872502
2023-01-19,13.5,1.0226370080817837,1.0226370080817837
2023-01-20,11.0,0.5299099351364484,0.5299099351364484
2023-01-22,3.0,-1.046816698288625,-1.046816698288625
2023-01-23,10.0,0.3328191059583142,0.3328191059583142
2023-01-24,11.25,0.5791826424309819,0.5791826424309819
2023-01-25,7.75,-0.11063525969248768,-0.11063525969248768
2023-01-29,3.75,-0.8989985764050243,-0.8989985764050243
2023-01-30,9.75,0.2835463986637806,0.2835463986637806
2023-01-31,7.75,-0.11063525969248768,-0.11063525969248768
2023-02-01,16.5,1.6139094956161864,1.6139094956161864
2023-02-02,11.0,0.5299099351364484,0.5299099351364484
2023-02-05,4.25,-0.8004531618159573,-0.8004531618159573
2023-02-06,16.0,1.5153640810271192,1.5153640810271192
2023-02-07,11.25,0.5791826424309819,0.5791826424309819
2023-02-08,6.0,-0.45554421075422247,-0.45554421075422247
2023-02-09,13.0,0.9240915934927166,0.9240915934927166
2023-02-10,9.5,0.2342736913692471,0.2342736913692471
2023-02-12,2.75,-1.0960894055831585,-1.0960894055831585
2023-02-13,6.25,-0.40627150345968893,-0.40627150345968893
2023-02-15,10.25,0.38209181325284775,0.38209181325284775
2023-02-17,13.0,0.9240915934927166,0.9240915934927166
2023-02-19,3.25,-0.9975439909940914,-0.9975439909940914
2023-02-21,14.25,1.1704551299653845,1.1704551299653845
2023-02-22,7.5,-0.15990796698702123,-0.15990796698702123
2023-02-26,3.0,-1.046816698288625,-1.046816698288625
2023-02-27,17.25,1.761727617499787,1.761727617499787
2023-02-28,15.75,1.4660913737325856,1.4660913737325856
2023-03-01,20.75,2.4515455196232563,2.4515455196232563
2023-03-02,15.5,1.416818666438052,1.416818666438052
2023-03-03,15.5,1.416818666438052,1.416818666438052
2023-03-05,10.5,0.4313645205473813,0.4313645205473813
2023-03-06,15.75,1.4660913737325856,1.4660913737325856
2023-03-07,12.25,0.7762734716091161,0.7762734716091161
2023-03-08,12.25,0.7762734716091161,0.7762734716091161
2023-03-09,27.25,3.7326359092811283,3.7326359092811283
2023-03-12,21.5,2.5993636415068573,2.5993636415068573
2023-03-13,36.0,5.457180664589802,5.457180664589802
2023-03-16,31.75,4.619544640582732,4.619544640582732
2023-03-17,27.75,3.831181323870195,3.831181323870195
2023-03-19,13.75,1.0719097153763173,1.0719097153763173
2023-03-20,31.25,4.520999225993664,4.520999225993664
2023-03-21,22.25,2.747181763390458,2.747181763390458
2023-03-22,28.75,4.028272153048329,4.028272153048329
2023-03-23,19.5,2.2051819831505886,2.2051819831505886
2023-03-24,18.0,1.9095457393833875,1.9095457393833875
2023-03-26,5.0,-0.6526350399323566,-0.6526350399323566
2023-03-27,20.5,2.402272812328723,2.402272812328723
2023-03-28,11.25,0.5791826424309819,0.5791826424309819
2023-03-29,10.5,0.4313645205473813,0.4313645205473813
2023-04-02,6.5,-0.3569987961651554,-0.3569987961651554
2023-04-03,17.0,1.7124549102052533,1.7124549102052533
2023-04-04,19.25,2.155909275856055,2.155909275856055
2023-04-05,13.0,0.9240915934927166,0.9240915934927166
2023-04-06,9.0,0.13572827678018,0.13572827678018
2023-04-09,2.25,-1.1946348201722257,-1.1946348201722257
2023-04-10,9.75,0.2835463986637806,0.2835463986637806
2023-04-11,9.0,0.13572827678018,0.13572827678018
2023-04-14,15.0,1.318273251848985,1.318273251848985
2023-04-16,2.5,-1.145362112877692,-1.145362112877692
2023-04-17,11.5,0.6284553497255154,0.6284553497255154
2023-04-18,6.75,-0.30772608887062186,-0.30772608887062186
2023-04-19,8.0,-0.06136255239795414,-0.06136255239795414
2023-04-20,9.0,0.13572827678018,0.13572827678018
2023-04-21,9.25,0.18500098407471358,0.18500098407471358
2023-04-23,1.75,-1.2931802347612926,-1.2931802347612926
2023-04-24,11.25,0.5791826424309819,0.5791826424309819
2023-04-25,12.5,0.8255461789036496,0.8255461789036496
2023-04-26,10.25,0.38209181325284775,0.38209181325284775
2023-04-30,3.5,-0.9482712836995579,-0.9482712836995579
2023-05-01,15.25,1.3675459591435186,1.3675459591435186
2023-05-02,19.5,2.2051819831505886,2.2051819831505886
2023-05-03,20.0,2.3037273977396557,2.3037273977396557
2023-05-04,16.5,1.6139094956161864,1.6139094956161864
2023-05-07,3.5,-0.9482712836995579,-0.9482712836995579
2023-05-08,11.0,0.5299099351364484,0.5299099351364484
2023-05-09,6.5,-0.3569987961651554,-0.3569987961651554
2023-05-12,13.004028320312273,0.9248855384832576,0.9248855384832576
