Volatility of Returns Statistic,"(Session:US Mid 10-15 ET, Interval:1m, Symbol:ZT)"
count,240.0
mean,1.4187499966666668
std,1.3288075917054687
min,0.1875
10%,0.4375
25%,0.625
50%,0.9375003999999763
75%,1.578125
95%,4.693749999999998
99%,6.117499999999993
max,7.875
skewness,2.288752367060074
kurtosis,5.286438008874509
