Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,1.0,-0.49789478688271366,-0.49789478688271366
2024-10-14,2.0,0.04602388786310794,0.04602388786310794
2024-10-15,0.75,-0.633874455569169,-0.633874455569169
2024-10-16,1.375,-0.2939252838530306,-0.2939252838530306
2024-10-17,0.875,-0.5658846212259413,-0.5658846212259413
2024-10-20,1.125,-0.42990495253948596,-0.42990495253948596
2024-10-21,1.625,-0.15794561516657515,-0.15794561516657515
2024-10-22,2.25,0.18200355654956332,0.18200355654956332
2024-10-23,2.125,0.11401372220633564,0.11401372220633564
2024-10-24,1.375,-0.2939252838530306,-0.2939252838530306
2024-10-27,3.375,0.7939120656386126,0.7939120656386126
2024-10-28,1.375,-0.2939252838530306,-0.2939252838530306
2024-10-29,1.25,-0.36191511819625827,-0.36191511819625827
2024-11-03,2.5,0.31798322523601874,0.31798322523601874
2024-11-04,1.25,-0.36191511819625827,-0.36191511819625827
2024-11-05,13.0,6.0291293100671455,6.0291293100671455
2024-11-06,2.0,0.04602388786310794,0.04602388786310794
2024-11-07,1.625,-0.15794561516657515,-0.15794561516657515
2024-11-10,2.0,0.04602388786310794,0.04602388786310794
2024-11-11,1.5,-0.22593544950980285,-0.22593544950980285
2024-11-12,1.5,-0.22593544950980285,-0.22593544950980285
2024-11-17,1.5,-0.22593544950980285,-0.22593544950980285
2024-11-18,1.125,-0.42990495253948596,-0.42990495253948596
2024-11-19,1.25,-0.36191511819625827,-0.36191511819625827
2024-11-20,1.0,-0.49789478688271366,-0.49789478688271366
2024-11-21,1.125,-0.42990495253948596,-0.42990495253948596
2024-11-24,2.0,0.04602388786310794,0.04602388786310794
2024-11-25,2.0,0.04602388786310794,0.04602388786310794
2024-11-26,1.125,-0.42990495253948596,-0.42990495253948596
2024-11-28,1.25,-0.36191511819625827,-0.36191511819625827
2024-12-01,2.125,0.11401372220633564,0.11401372220633564
2024-12-02,4.25,1.2698409060412064,1.2698409060412064
2024-12-03,4.375,1.337830740384434,1.337830740384434
2024-12-04,1.25,-0.36191511819625827,-0.36191511819625827
2024-12-05,3.25,0.7259222312953849,0.7259222312953849
2024-12-08,1.0,-0.49789478688271366,-0.49789478688271366
2024-12-09,0.875,-0.5658846212259413,-0.5658846212259413
2024-12-10,1.5,-0.22593544950980285,-0.22593544950980285
2024-12-15,1.5,-0.22593544950980285,-0.22593544950980285
2024-12-16,1.0,-0.49789478688271366,-0.49789478688271366
2024-12-17,1.125,-0.42990495253948596,-0.42990495253948596
2024-12-18,2.0,0.04602388786310794,0.04602388786310794
2024-12-22,1.25,-0.36191511819625827,-0.36191511819625827
2024-12-23,0.75,-0.633874455569169,-0.633874455569169
2024-12-25,2.0,0.04602388786310794,0.04602388786310794
2024-12-26,1.125,-0.42990495253948596,-0.42990495253948596
2024-12-29,0.875,-0.5658846212259413,-0.5658846212259413
2024-12-30,1.25,-0.36191511819625827,-0.36191511819625827
2025-01-01,2.0,0.04602388786310794,0.04602388786310794
2025-01-02,1.125,-0.42990495253948596,-0.42990495253948596
2025-01-05,1.875,-0.02196594648011976,-0.02196594648011976
2025-01-06,1.5,-0.22593544950980285,-0.22593544950980285
2025-01-07,1.25,-0.36191511819625827,-0.36191511819625827
2025-01-08,1.75,-0.08995578082334746,-0.08995578082334746
2025-01-09,1.375,-0.2939252838530306,-0.2939252838530306
2025-01-12,2.625,0.38597305957924644,0.38597305957924644
2025-01-13,1.125,-0.42990495253948596,-0.42990495253948596
2025-01-16,0.875,-0.5658846212259413,-0.5658846212259413
2025-01-19,1.25,-0.36191511819625827,-0.36191511819625827
2025-01-20,3.5,0.8619018999818403,0.8619018999818403
2025-01-21,1.5,-0.22593544950980285,-0.22593544950980285
2025-01-22,0.875,-0.5658846212259413,-0.5658846212259413
2025-01-23,2.25,0.18200355654956332,0.18200355654956332
2025-01-26,2.125,0.11401372220633564,0.11401372220633564
2025-01-27,1.875,-0.02196594648011976,-0.02196594648011976
2025-01-28,1.5,-0.22593544950980285,-0.22593544950980285
2025-01-29,1.125,-0.42990495253948596,-0.42990495253948596
2025-02-02,5.5,1.9497392494734833,1.9497392494734833
2025-02-03,1.125,-0.42990495253948596,-0.42990495253948596
2025-02-04,1.25,-0.36191511819625827,-0.36191511819625827
2025-02-05,1.125,-0.42990495253948596,-0.42990495253948596
2025-02-06,1.125,-0.42990495253948596,-0.42990495253948596
2025-02-09,1.625,-0.15794561516657515,-0.15794561516657515
2025-02-10,1.125,-0.42990495253948596,-0.42990495253948596
2025-02-11,1.875,-0.02196594648011976,-0.02196594648011976
2025-02-16,1.5,-0.22593544950980285,-0.22593544950980285
2025-02-17,1.75,-0.08995578082334746,-0.08995578082334746
2025-02-18,1.0,-0.49789478688271366,-0.49789478688271366
2025-02-19,1.5,-0.22593544950980285,-0.22593544950980285
2025-02-20,1.75,-0.08995578082334746,-0.08995578082334746
2025-02-23,0.875,-0.5658846212259413,-0.5658846212259413
2025-02-24,2.375,0.24999339089279102,0.24999339089279102
2025-02-25,3.25,0.7259222312953849,0.7259222312953849
2025-02-26,4.25,1.2698409060412064,1.2698409060412064
2025-03-02,4.75,1.5418002434141171,1.5418002434141171
2025-03-03,7.5,3.0375765989651264,3.0375765989651264
2025-03-04,6.0,2.221698586846394,2.221698586846394
2025-03-05,6.0,2.221698586846394,2.221698586846394
2025-03-06,4.125,1.2018510716979787,1.2018510716979787
2025-03-09,5.25,1.813759580787028,1.813759580787028
2025-03-10,4.5,1.4058205747276618,1.4058205747276618
2025-03-11,1.75,-0.08995578082334746,-0.08995578082334746
2025-03-16,4.25,1.2698409060412064,1.2698409060412064
2025-03-17,1.75,-0.08995578082334746,-0.08995578082334746
2025-03-18,1.125,-0.42990495253948596,-0.42990495253948596
2025-03-19,1.25,-0.36191511819625827,-0.36191511819625827
2025-03-20,1.25,-0.36191511819625827,-0.36191511819625827
2025-03-23,2.125,0.11401372220633564,0.11401372220633564
2025-03-24,1.25,-0.36191511819625827,-0.36191511819625827
2025-03-25,1.25,-0.36191511819625827,-0.36191511819625827
2025-03-26,2.0,0.04602388786310794,0.04602388786310794
2025-03-30,3.875,1.0658714030115235,1.0658714030115235
2025-03-31,1.5,-0.22593544950980285,-0.22593544950980285
2025-04-01,2.125,0.11401372220633564,0.11401372220633564
2025-04-02,6.625,2.5616477585625326,2.5616477585625326
2025-04-03,6.125,2.289688421189622,2.289688421189622
2025-04-06,15.5,7.388925996931699,7.388925996931699
2025-04-07,6.5,2.493657924219305,2.493657924219305
2025-04-08,12.625,5.825159807037462,5.825159807037462
2025-04-09,6.75,2.6296375929057603,2.6296375929057603
2025-04-13,6.625,2.5616477585625326,2.5616477585625326
2025-04-14,2.5,0.31798322523601874,0.31798322523601874
2025-04-15,2.75,0.45396289392247413,0.45396289392247413
2025-04-16,3.875,1.0658714030115235,1.0658714030115235
2025-04-20,2.375,0.24999339089279102,0.24999339089279102
2025-04-21,1.875,-0.02196594648011976,-0.02196594648011976
2025-04-22,3.75,0.9978815686682957,0.9978815686682957
2025-04-23,2.375,0.24999339089279102,0.24999339089279102
2025-04-24,2.0,0.04602388786310794,0.04602388786310794
2025-04-27,1.5,-0.22593544950980285,-0.22593544950980285
2025-04-28,1.5,-0.22593544950980285,-0.22593544950980285
2025-04-29,1.5,-0.22593544950980285,-0.22593544950980285
2025-05-01,3.25,0.7259222312953849,0.7259222312953849
2025-05-04,2.125,0.11401372220633564,0.11401372220633564
2025-05-05,1.625,-0.15794561516657515,-0.15794561516657515
2025-05-06,2.875,0.5219527282657018,0.5219527282657018
2025-05-07,2.125,0.11401372220633564,0.11401372220633564
2025-05-08,1.625,-0.15794561516657515,-0.15794561516657515
2025-05-11,1.125,-0.42990495253948596,-0.42990495253948596
2025-05-12,2.125,0.11401372220633564,0.11401372220633564
2025-05-14,0.875,-0.5658846212259413,-0.5658846212259413
2025-05-18,3.0,0.5899425626089295,0.5899425626089295
2025-05-19,1.625,-0.15794561516657515,-0.15794561516657515
2025-05-20,3.0,0.5899425626089295,0.5899425626089295
2025-05-21,1.75,-0.08995578082334746,-0.08995578082334746
2025-05-22,1.375,-0.2939252838530306,-0.2939252838530306
2025-05-25,3.125,0.6579323969521572,0.6579323969521572
2025-05-26,1.875,-0.02196594648011976,-0.02196594648011976
2025-05-27,1.75,-0.08995578082334746,-0.08995578082334746
2025-05-28,6.25,2.3576782555328495,2.3576782555328495
2025-06-01,3.5,0.8619018999818403,0.8619018999818403
2025-06-02,1.0,-0.49789478688271366,-0.49789478688271366
2025-06-03,1.625,-0.15794561516657515,-0.15794561516657515
2025-06-04,2.75,0.45396289392247413,0.45396289392247413
2025-06-05,1.0,-0.49789478688271366,-0.49789478688271366
2025-06-08,2.125,0.11401372220633564,0.11401372220633564
2025-06-09,1.625,-0.15794561516657515,-0.15794561516657515
2025-06-10,1.625,-0.15794561516657515,-0.15794561516657515
2025-06-15,2.75,0.45396289392247413,0.45396289392247413
2025-06-16,2.75,0.45396289392247413,0.45396289392247413
2025-06-17,1.75,-0.08995578082334746,-0.08995578082334746
2025-06-18,2.0,0.04602388786310794,0.04602388786310794
2025-06-19,1.25,-0.36191511819625827,-0.36191511819625827
2025-06-22,3.375,0.7939120656386126,0.7939120656386126
2025-06-23,1.625,-0.15794561516657515,-0.15794561516657515
2025-06-24,0.75,-0.633874455569169,-0.633874455569169
2025-06-25,1.75,-0.08995578082334746,-0.08995578082334746
2025-06-29,1.5,-0.22593544950980285,-0.22593544950980285
2025-06-30,1.5,-0.22593544950980285,-0.22593544950980285
2025-07-01,0.875,-0.5658846212259413,-0.5658846212259413
2025-07-02,1.75,-0.08995578082334746,-0.08995578082334746
2025-07-06,1.375,-0.2939252838530306,-0.2939252838530306
2025-07-07,1.125,-0.42990495253948596,-0.42990495253948596
2025-07-08,1.125,-0.42990495253948596,-0.42990495253948596
2025-07-09,1.375,-0.2939252838530306,-0.2939252838530306
2025-07-10,1.5,-0.22593544950980285,-0.22593544950980285
2025-07-13,0.0,-1.0418134616285353,-1.0418134616285353
2025-07-14,1.375,-0.2939252838530306,-0.2939252838530306
2025-07-21,0.875,-0.5658846212259413,-0.5658846212259413
2025-07-22,1.25,-0.36191511819625827,-0.36191511819625827
2025-07-23,1.25,-0.36191511819625827,-0.36191511819625827
2025-07-24,0.875,-0.5658846212259413,-0.5658846212259413
2025-07-28,1.0,-0.49789478688271366,-0.49789478688271366
2025-07-29,0.75,-0.633874455569169,-0.633874455569169
2025-08-03,0.0,-1.0418134616285353,-1.0418134616285353
2025-08-04,2.0,0.04602388786310794,0.04602388786310794
2025-08-05,0.875,-0.5658846212259413,-0.5658846212259413
2025-08-06,1.125,-0.42990495253948596,-0.42990495253948596
2025-08-07,1.125,-0.42990495253948596,-0.42990495253948596
2025-08-10,0.0,-1.0418134616285353,-1.0418134616285353
2025-08-11,0.625,-0.7018642899123967,-0.7018642899123967
2025-08-13,1.0,-0.49789478688271366,-0.49789478688271366
2025-08-17,0.0,-1.0418134616285353,-1.0418134616285353
2025-08-18,1.125,-0.42990495253948596,-0.42990495253948596
2025-08-19,1.125,-0.42990495253948596,-0.42990495253948596
2025-08-20,0.625,-0.7018642899123967,-0.7018642899123967
2025-08-21,0.5,-0.7698541242556244,-0.7698541242556244
2025-08-24,0.0,-1.0418134616285353,-1.0418134616285353
2025-08-25,2.25,0.18200355654956332,0.18200355654956332
2025-08-26,1.0,-0.49789478688271366,-0.49789478688271366
2025-08-27,4.125,1.2018510716979787,1.2018510716979787
2025-08-31,2.75,0.45396289392247413,0.45396289392247413
2025-09-02,3.375,0.7939120656386126,0.7939120656386126
2025-09-03,2.75,0.45396289392247413,0.45396289392247413
2025-09-04,3.0,0.5899425626089295,0.5899425626089295
2025-09-07,0.0,-1.0418134616285353,-1.0418134616285353
2025-09-08,1.0,-0.49789478688271366,-0.49789478688271366
2025-09-14,0.0,-1.0418134616285353,-1.0418134616285353
2025-09-15,1.0,-0.49789478688271366,-0.49789478688271366
2025-09-16,1.0,-0.49789478688271366,-0.49789478688271366
2025-09-17,2.25,0.18200355654956332,0.18200355654956332
2025-09-18,0.75,-0.633874455569169,-0.633874455569169
2025-09-21,0.0,-1.0418134616285353,-1.0418134616285353
2025-09-22,0.75,-0.633874455569169,-0.633874455569169
2025-09-23,1.0,-0.49789478688271366,-0.49789478688271366
2025-09-24,1.0,-0.49789478688271366,-0.49789478688271366
2025-09-28,1.0,-0.49789478688271366,-0.49789478688271366
2025-09-29,0.5,-0.7698541242556244,-0.7698541242556244
2025-09-30,0.875,-0.5658846212259413,-0.5658846212259413
2025-10-01,1.25,-0.36191511819625827,-0.36191511819625827
2025-10-02,0.875,-0.5658846212259413,-0.5658846212259413
2025-10-05,0.0,-1.0418134616285353,-1.0418134616285353
2025-10-06,0.625,-0.7018642899123967,-0.7018642899123967
2025-10-07,0.875,-0.5658846212259413,-0.5658846212259413
2025-10-08,0.875,-0.5658846212259413,-0.5658846212259413
2025-10-09,0.75,-0.633874455569169,-0.633874455569169
2025-10-12,0.0,-1.0418134616285353,-1.0418134616285353
2025-10-13,1.375,-0.2939252838530306,-0.2939252838530306
2025-10-14,2.125,0.11401372220633564,0.11401372220633564
2025-10-19,0.0,-1.0418134616285353,-1.0418134616285353
2025-10-20,1.0,-0.49789478688271366,-0.49789478688271366
2025-10-21,0.75,-0.633874455569169,-0.633874455569169
2025-10-22,1.0,-0.49789478688271366,-0.49789478688271366
2025-10-23,0.75,-0.633874455569169,-0.633874455569169
2025-10-26,0.0,-1.0418134616285353,-1.0418134616285353
2025-10-27,1.0,-0.49789478688271366,-0.49789478688271366
2025-10-28,0.625,-0.7018642899123967,-0.7018642899123967
2025-10-29,1.25,-0.36191511819625827,-0.36191511819625827
2025-11-02,2.25,0.18200355654956332,0.18200355654956332
2025-11-03,0.875,-0.5658846212259413,-0.5658846212259413
2025-11-04,2.625,0.38597305957924644,0.38597305957924644
2025-11-05,1.125,-0.42990495253948596,-0.42990495253948596
2025-11-06,0.875,-0.5658846212259413,-0.5658846212259413
2025-11-09,3.25,0.7259222312953849,0.7259222312953849
2025-11-10,0.625,-0.7018642899123967,-0.7018642899123967
2025-11-11,1.125,-0.42990495253948596,-0.42990495253948596
2025-11-12,0.75,-0.633874455569169,-0.633874455569169
2025-11-16,1.0,-0.49789478688271366,-0.49789478688271366
2025-11-17,3.0,0.5899425626089295,0.5899425626089295
2025-11-18,0.625,-0.7018642899123967,-0.7018642899123967
2025-11-19,1.125,-0.42990495253948596,-0.42990495253948596
2025-11-23,0.75,-0.633874455569169,-0.633874455569169
2025-11-24,1.25,-0.36191511819625827,-0.36191511819625827
2025-11-30,2.375,0.24999339089279102,0.24999339089279102
2025-12-01,1.375,-0.2939252838530306,-0.2939252838530306
2025-12-02,1.75,-0.08995578082334746,-0.08995578082334746
2025-12-03,2.0,0.04602388786310794,0.04602388786310794
2025-12-04,1.0,-0.49789478688271366,-0.49789478688271366
2025-12-07,1.25,-0.36191511819625827,-0.36191511819625827
2025-12-08,1.375,-0.2939252838530306,-0.2939252838530306
2025-12-09,1.25,-0.36191511819625827,-0.36191511819625827
2025-12-10,2.0,0.04602388786310794,0.04602388786310794
2025-12-14,1.125,-0.42990495253948596,-0.42990495253948596
2025-12-15,0.875,-0.5658846212259413,-0.5658846212259413
2025-12-17,1.375,-0.2939252838530306,-0.2939252838530306
2025-12-21,1.0,-0.49789478688271366,-0.49789478688271366
2025-12-22,0.75,-0.633874455569169,-0.633874455569169
2025-12-28,1.0,-0.49789478688271366,-0.49789478688271366
2025-12-29,0.875,-0.5658846212259413,-0.5658846212259413
2025-12-30,0.875,-0.5658846212259413,-0.5658846212259413
