Volatility of Returns Statistic,"(Session:US Open 7-10 ET, Interval:1h, Symbol:ZN)"
count,575.0
mean,4.963478260869565
std,2.799322666792678
min,0.75
10%,2.25
25%,3.125
50%,4.25
75%,6.0
95%,10.074999999999989
99%,14.879999999999995
max,24.5
skewness,2.0256115887308104
kurtosis,7.064710711675952
