Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,6.5,-0.42612245885362005,-0.42612245885362005
2024-10-15,9.0,0.13931128835695983,0.13931128835695983
2024-10-16,8.0,-0.08686221052727211,-0.08686221052727211
2024-10-17,4.5,-0.8784694566220839,-0.8784694566220839
2024-10-18,7.5,-0.19994895996938808,-0.19994895996938808
2024-10-21,12.5,0.9309185344517716,0.9309185344517716
2024-10-22,6.0,-0.539209208295736,-0.539209208295736
2024-10-23,4.5,-0.8784694566220839,-0.8784694566220839
2024-10-24,9.0,0.13931128835695983,0.13931128835695983
2024-10-25,7.5,-0.19994895996938808,-0.19994895996938808
2024-10-28,9.0,0.13931128835695983,0.13931128835695983
2024-10-29,12.0,0.8178317850096557,0.8178317850096557
2024-11-04,9.5,0.2523980377990758,0.2523980377990758
2024-11-05,7.5,-0.19994895996938808,-0.19994895996938808
2024-11-06,26.5,4.097347518831019,4.097347518831019
2024-11-07,14.5,1.3832655322202356,1.3832655322202356
2024-11-08,10.5,0.47857153668330776,0.47857153668330776
2024-11-11,6.5,-0.42612245885362005,-0.42612245885362005
2024-11-12,12.0,0.8178317850096557,0.8178317850096557
2024-11-15,9.5,0.2523980377990758,0.2523980377990758
2024-11-18,10.0,0.36548478724119177,0.36548478724119177
2024-11-19,14.0,1.2701787827781195,1.2701787827781195
2024-11-20,7.0,-0.31303570941150405,-0.31303570941150405
2024-11-21,8.0,-0.08686221052727211,-0.08686221052727211
2024-11-22,9.0,0.13931128835695983,0.13931128835695983
2024-11-25,7.5,-0.19994895996938808,-0.19994895996938808
2024-11-26,5.5,-0.652295957737852,-0.652295957737852
2024-11-28,6.0,-0.539209208295736,-0.539209208295736
2024-11-29,9.5,0.2523980377990758,0.2523980377990758
2024-12-02,10.0,0.36548478724119177,0.36548478724119177
2024-12-03,8.0,-0.08686221052727211,-0.08686221052727211
2024-12-04,7.0,-0.31303570941150405,-0.31303570941150405
2024-12-05,9.0,0.13931128835695983,0.13931128835695983
2024-12-09,8.5,0.026224538914843866,0.026224538914843866
2024-12-10,11.5,0.7047450355675396,0.7047450355675396
2024-12-13,6.5,-0.42612245885362005,-0.42612245885362005
2024-12-16,4.0,-0.9915562060641999,-0.9915562060641999
2024-12-17,7.5,-0.19994895996938808,-0.19994895996938808
2024-12-18,7.0,-0.31303570941150405,-0.31303570941150405
2024-12-23,5.5,-0.652295957737852,-0.652295957737852
2024-12-26,4.0,-0.9915562060641999,-0.9915562060641999
2024-12-27,12.0,0.8178317850096557,0.8178317850096557
2024-12-30,5.5,-0.652295957737852,-0.652295957737852
2024-12-31,5.5,-0.652295957737852,-0.652295957737852
2025-01-02,12.5,0.9309185344517716,0.9309185344517716
2025-01-03,5.5,-0.652295957737852,-0.652295957737852
2025-01-06,10.0,0.36548478724119177,0.36548478724119177
2025-01-07,9.5,0.2523980377990758,0.2523980377990758
2025-01-08,8.5,0.026224538914843866,0.026224538914843866
2025-01-09,6.0,-0.539209208295736,-0.539209208295736
2025-01-13,5.0,-0.7653827071799679,-0.7653827071799679
2025-01-16,6.0,-0.539209208295736,-0.539209208295736
2025-01-17,7.0,-0.31303570941150405,-0.31303570941150405
2025-01-20,6.0,-0.539209208295736,-0.539209208295736
2025-01-21,10.5,0.47857153668330776,0.47857153668330776
2025-01-22,7.5,-0.19994895996938808,-0.19994895996938808
2025-01-23,10.0,0.36548478724119177,0.36548478724119177
2025-01-24,7.5,-0.19994895996938808,-0.19994895996938808
2025-01-27,18.0,2.174872778315047,2.174872778315047
2025-01-28,6.5,-0.42612245885362005,-0.42612245885362005
2025-01-29,5.0,-0.7653827071799679,-0.7653827071799679
2025-02-03,10.0,0.36548478724119177,0.36548478724119177
2025-02-04,9.5,0.2523980377990758,0.2523980377990758
2025-02-05,9.0,0.13931128835695983,0.13931128835695983
2025-02-06,6.004028320312273,-0.5382981089960829,-0.5382981089960829
2025-02-10,7.0,-0.31303570941150405,-0.31303570941150405
2025-02-11,8.5,0.026224538914843866,0.026224538914843866
2025-02-14,5.5,-0.652295957737852,-0.652295957737852
2025-02-17,4.0,-0.9915562060641999,-0.9915562060641999
2025-02-18,3.5,-1.1046429555063157,-1.1046429555063157
2025-02-19,7.0,-0.31303570941150405,-0.31303570941150405
2025-02-20,6.0,-0.539209208295736,-0.539209208295736
2025-02-21,4.5,-0.8784694566220839,-0.8784694566220839
2025-02-24,6.5,-0.42612245885362005,-0.42612245885362005
2025-02-25,11.0,0.5916582861254237,0.5916582861254237
2025-02-26,8.5,0.026224538914843866,0.026224538914843866
2025-03-03,11.5,0.7047450355675396,0.7047450355675396
2025-03-04,13.5,1.1570920333360035,1.1570920333360035
2025-03-05,12.5,0.9309185344517716,0.9309185344517716
2025-03-06,10.5,0.47857153668330776,0.47857153668330776
2025-03-10,15.0,1.4963522816623516,1.4963522816623516
2025-03-11,10.0,0.36548478724119177,0.36548478724119177
2025-03-14,9.0,0.13931128835695983,0.13931128835695983
2025-03-17,8.0,-0.08686221052727211,-0.08686221052727211
2025-03-18,9.0,0.13931128835695983,0.13931128835695983
2025-03-19,6.5,-0.42612245885362005,-0.42612245885362005
2025-03-20,9.0,0.13931128835695983,0.13931128835695983
2025-03-21,8.5,0.026224538914843866,0.026224538914843866
2025-03-24,5.5,-0.652295957737852,-0.652295957737852
2025-03-25,9.0,0.13931128835695983,0.13931128835695983
2025-03-26,6.004028320312273,-0.5382981089960829,-0.5382981089960829
