Date,"Volatility of Returns (Session:London 0-7 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-11-04,5.0,0.3102069419552879,0.3102069419552879
2024-11-05,8.0,1.5832626151134213,1.5832626151134213
2024-11-06,6.25,0.8406468057711769,0.8406468057711769
2024-11-07,12.25,3.386758152087444,3.386758152087444
2024-11-08,6.5,0.9467347785343546,0.9467347785343546
2024-11-11,5.75,0.6284708602448212,0.6284708602448212
2024-11-12,6.75,1.0528227512975323,1.0528227512975323
2024-11-15,10.25,2.5380543699820213,2.5380543699820213
2024-11-18,5.75,0.6284708602448212,0.6284708602448212
2024-11-19,5.5,0.5223828874816435,0.5223828874816435
2024-11-20,5.5,0.5223828874816435,0.5223828874816435
2024-11-21,5.75,0.6284708602448212,0.6284708602448212
2024-11-22,5.0,0.3102069419552879,0.3102069419552879
2024-11-25,9.75,2.325878424455666,2.325878424455666
2024-11-26,5.5,0.5223828874816435,0.5223828874816435
2024-11-29,5.25,0.4162949147184657,0.4162949147184657
2024-12-02,11.25,2.9624062610347326,2.9624062610347326
2024-12-03,9.0,2.0076145061661324,2.0076145061661324
2024-12-04,12.0,3.280670179324266,3.280670179324266
2024-12-05,6.0,0.7345588330079991,0.7345588330079991
2024-12-09,6.0,0.7345588330079991,0.7345588330079991
2024-12-10,6.5,0.9467347785343546,0.9467347785343546
2024-12-13,6.0,0.7345588330079991,0.7345588330079991
2024-12-16,5.5,0.5223828874816435,0.5223828874816435
2024-12-17,7.25,1.264998696823888,1.264998696823888
2024-12-18,5.5,0.5223828874816435,0.5223828874816435
2024-12-23,4.5,0.09803099642893236,0.09803099642893236
2024-12-24,2.0,-0.9628487312028455,-0.9628487312028455
2024-12-26,3.5,-0.3263208946237788,-0.3263208946237788
2024-12-27,4.75,0.20411896919211014,0.20411896919211014
2024-12-30,7.5,1.3710866695870658,1.3710866695870658
2024-12-31,6.0,0.7345588330079991,0.7345588330079991
2025-01-02,8.0,1.5832626151134213,1.5832626151134213
2025-01-03,5.0,0.3102069419552879,0.3102069419552879
2025-01-06,7.5,1.3710866695870658,1.3710866695870658
2025-01-07,8.0,1.5832626151134213,1.5832626151134213
2025-01-08,6.25,0.8406468057711769,0.8406468057711769
2025-01-09,4.0,-0.11414494909742322,-0.11414494909742322
2025-01-13,4.75,0.20411896919211014,0.20411896919211014
2025-01-16,10.75,2.750230315508377,2.750230315508377
2025-01-17,6.5,0.9467347785343546,0.9467347785343546
2025-01-20,8.0,1.5832626151134213,1.5832626151134213
2025-01-21,4.0,-0.11414494909742322,-0.11414494909742322
2025-01-22,5.5,0.5223828874816435,0.5223828874816435
2025-01-23,4.75,0.20411896919211014,0.20411896919211014
2025-01-24,6.75,1.0528227512975323,1.0528227512975323
2025-01-27,7.75,1.4771746423502436,1.4771746423502436
2025-01-28,4.25,-0.008056976334245434,-0.008056976334245434
2025-01-29,5.25,0.4162949147184657,0.4162949147184657
2025-02-03,5.25,0.4162949147184657,0.4162949147184657
2025-02-04,4.5,0.09803099642893236,0.09803099642893236
2025-02-05,4.5,0.09803099642893236,0.09803099642893236
2025-02-06,2.75,-0.6445848129133122,-0.6445848129133122
2025-02-10,3.0,-0.5384968401501343,-0.5384968401501343
2025-02-11,3.5,-0.3263208946237788,-0.3263208946237788
2025-02-14,2.75,-0.6445848129133122,-0.6445848129133122
2025-02-17,2.0,-0.9628487312028455,-0.9628487312028455
2025-02-18,1.75,-1.0689367039660234,-1.0689367039660234
2025-02-19,2.5,-0.75067278567649,-0.75067278567649
2025-02-20,2.75,-0.6445848129133122,-0.6445848129133122
2025-02-21,3.0,-0.5384968401501343,-0.5384968401501343
2025-02-24,2.5,-0.75067278567649,-0.75067278567649
2025-02-25,5.75,0.6284708602448212,0.6284708602448212
2025-02-26,3.75,-0.220232921860601,-0.220232921860601
2025-03-03,4.25,-0.008056976334245434,-0.008056976334245434
2025-03-04,5.75,0.6284708602448212,0.6284708602448212
2025-03-05,5.0,0.3102069419552879,0.3102069419552879
2025-03-06,5.25,0.4162949147184657,0.4162949147184657
2025-03-10,6.5,0.9467347785343546,0.9467347785343546
2025-03-11,5.75,0.6284708602448212,0.6284708602448212
2025-03-14,2.75,-0.6445848129133122,-0.6445848129133122
2025-03-17,3.0059814453127274,-0.5359586025204501,-0.5359586025204501
2025-03-18,3.75,-0.220232921860601,-0.220232921860601
2025-03-19,3.25,-0.43240886738695655,-0.43240886738695655
2025-03-20,5.25,0.4162949147184657,0.4162949147184657
2025-03-21,4.5,0.09803099642893236,0.09803099642893236
2025-03-24,2.25,-0.8567607584396677,-0.8567607584396677
2025-03-25,4.75,0.20411896919211014,0.20411896919211014
2025-03-26,3.25,-0.43240886738695655,-0.43240886738695655
2025-03-31,3.5,-0.3263208946237788,-0.3263208946237788
2025-04-01,4.5,0.09803099642893236,0.09803099642893236
2025-04-02,6.25,0.8406468057711769,0.8406468057711769
2025-04-03,5.25,0.4162949147184657,0.4162949147184657
2025-04-04,15.0,4.553725852482399,4.553725852482399
2025-04-07,16.0,4.97807774353511,4.97807774353511
2025-04-08,6.0,0.7345588330079991,0.7345588330079991
2025-04-09,15.5,4.765901798008755,4.765901798008755
2025-04-14,6.75,1.0528227512975323,1.0528227512975323
2025-04-15,5.25,0.4162949147184657,0.4162949147184657
2025-04-16,5.5,0.5223828874816435,0.5223828874816435
2025-04-17,3.5,-0.3263208946237788,-0.3263208946237788
2025-04-21,3.75,-0.220232921860601,-0.220232921860601
2025-04-22,3.75,-0.220232921860601,-0.220232921860601
2025-04-23,5.5,0.5223828874816435,0.5223828874816435
2025-04-24,3.5,-0.3263208946237788,-0.3263208946237788
2025-04-25,4.25,-0.008056976334245434,-0.008056976334245434
2025-04-28,4.5,0.09803099642893236,0.09803099642893236
2025-04-29,3.75,-0.220232921860601,-0.220232921860601
2025-05-01,5.0,0.3102069419552879,0.3102069419552879
2025-05-05,2.0,-0.9628487312028455,-0.9628487312028455
2025-05-06,3.25,-0.43240886738695655,-0.43240886738695655
2025-05-07,3.25,-0.43240886738695655,-0.43240886738695655
2025-05-08,3.25,-0.43240886738695655,-0.43240886738695655
2025-05-09,3.0,-0.5384968401501343,-0.5384968401501343
2025-05-12,8.5,1.795438560639777,1.795438560639777
2025-05-14,3.25,-0.43240886738695655,-0.43240886738695655
2025-05-16,3.5,-0.3263208946237788,-0.3263208946237788
2025-05-19,5.25,0.4162949147184657,0.4162949147184657
2025-05-20,4.25,-0.008056976334245434,-0.008056976334245434
2025-05-21,4.0,-0.11414494909742322,-0.11414494909742322
2025-05-22,3.0,-0.5384968401501343,-0.5384968401501343
2025-05-23,3.5,-0.3263208946237788,-0.3263208946237788
2025-05-26,2.5,-0.75067278567649,-0.75067278567649
2025-05-27,3.25,-0.43240886738695655,-0.43240886738695655
2025-05-28,2.0,-0.9628487312028455,-0.9628487312028455
2025-06-02,4.0,-0.11414494909742322,-0.11414494909742322
2025-06-03,3.25,-0.43240886738695655,-0.43240886738695655
2025-06-04,2.75,-0.6445848129133122,-0.6445848129133122
2025-06-05,3.0,-0.5384968401501343,-0.5384968401501343
2025-06-09,2.75,-0.6445848129133122,-0.6445848129133122
2025-06-10,4.25,-0.008056976334245434,-0.008056976334245434
2025-06-13,7.5,1.3710866695870658,1.3710866695870658
