"(Vol Return Stats:- Interval:1m, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,243.0,244.0,247.0,234.0,268.0,312.0
mean,3.817967042020319,4.020491803278689,4.448380566801619,2.1720680171607927,2.828358208955224,7.141852354392027
std,1.956770807402444,1.98569735755913,2.4683190621942592,1.5542954285079311,2.496892808856865,4.586787827343828
min,1.25,0.75,0.75,0.75,0.0,0.0
5%,2.0,1.75,1.75,1.0,0.75,1.5
25%,2.75,2.75,2.75,1.3125,1.5,4.5
50%,3.5,3.5,4.0,1.75,2.25,6.625
68%,4.0,4.25,5.0,2.25,3.0,8.0
90%,5.75,6.25,7.600000000000001,3.5,4.75,11.5
95%,6.5,7.962499999999999,8.924999999999997,4.0,5.75,14.362499999999997
99%,13.42499999999994,11.319999999999993,12.67499999999999,9.339999999999975,12.069999999999936,22.91999999999996
99.7%,15.637,13.385499999999993,15.9585,12.47824999999996,22.64925000000001,32.88525000000004
max,16.0,13.75,17.25,14.75,23.25,38.25
