Volatility of Returns Statistic,"(Session:US Close 15-17 ET, Interval:1h, Symbol:ZN)"
count,561.0
mean,2.479985691009358
std,1.8526341622442053
min,0.5
10%,1.25
25%,1.5
50%,2.0
75%,2.75
95%,7.0
99%,10.25
max,14.75
skewness,2.9232349516182587
kurtosis,10.090958656608246
